mean,Max,Min,Mean,Std,Median,IQR,RMS,Skewness,Kurtosis
전체 Go,6.736128,-0.005483,0.332942,0.874599,0.123456,0.236474,0.95523,6.10742,51.834633
전체 Hold,7.095189,-0.003402,0.688819,1.57436,0.069153,0.329749,1.725518,3.090651,9.864267
전체 Back,6.941216,2.167689,4.737353,1.648327,4.699905,2.279462,5.35206,-1.06705,15.26614
Go-Back의 Go,6.54515,-0.006232,0.194418,0.758319,0.02487,0.039205,0.783805,6.10355,44.622014
Hold-Back의 Hold,7.109268,-0.004289,0.903655,1.770137,0.28247,0.659971,2.011549,2.612436,6.869417
,,,,,,,,,
std,Max,Min,Mean,Std,Median,IQR,RMS,Skewness,Kurtosis
전체 Go,0.963278,0.005366,0.58384,0.52416,0.726418,1.090504,0.760164,3.212613,86.342493
전체 Hold,0.285387,0.00462,0.434101,0.525113,0.371118,0.965309,0.661103,0.987755,6.929614
전체 Back,0.311197,3.028535,2.036514,1.279338,2.959636,2.910399,1.506519,3.51678,76.402824
Go-Back의 Go,1.396731,0.004498,0.079905,0.235854,0.018716,0.031114,0.244538,2.0554,32.542369
Hold-Back의 Hold,0.287259,0.00322,0.735839,0.538084,1.247783,1.482526,0.852956,1.071175,5.883735
