Filename,Max,Min,Mean,Std,Median,IQR,RMS,Skewness,Kurtosis
Hybrid(Average)_16-54_1031_Back499_468.0.csv,7.3868,0.0008,2.0921952,2.9572290486946398,0.07015,6.6368,3.6212897146872964,0.8508619033151151,-1.2063319780387132
Hybrid(Average)_16-54_1089_Back8_490.0.csv,7.5659,-0.0046,5.9958827,1.8982522134628546,6.6778,0.04887499999999978,6.288908288137934,-2.574621639697661,4.918443073483577
Hybrid(Average)_16-54_1094_Back9_491.0.csv,6.8547,-0.0043,4.2178056,3.0414350373129517,6.6322,6.57105,5.199130777206898,-0.5272199675067493,-1.6407200040344256
Hybrid(Average)_16-54_1101_Back11_493.0.csv,6.7227,0.0091,6.2224903000000005,1.4465583586640847,6.6558,0.040574999999999584,6.38825673306341,-3.633557806196123,12.050407049120313
Hybrid(Average)_16-54_1102_Back12_492.0.csv,6.7285,6.5156,6.6591305,0.023625427839313113,6.659800000000001,0.03197500000000009,6.659172367397468,-0.26113728706664135,0.9060471164402868
Hybrid(Average)_16-54_1109_Back14_494.0.csv,6.7387,0.0047,5.9793077,1.9417490021828743,6.6542,0.03730000000000011,6.2863931924093,-2.605488652565693,4.93941563073657
Hybrid(Average)_16-54_1110_Back15_493.0.csv,6.731,6.5844,6.6555975,0.02512874843178123,6.6546,0.03357499999999991,6.65564489020786,0.23545004302542316,-0.21027698333223022
Hybrid(Average)_16-54_1111_Back16_492.0.csv,6.7349,6.5739,6.6440103,0.03116526010395785,6.6412,0.04490000000000016,6.644083320419003,0.3794585916689202,-0.35938455551787296
Hybrid(Average)_16-54_1119_Back538_497.0.csv,7.5596,-0.0027,1.4982732,2.512830571654922,0.041800000000000004,2.04455,2.924521455930867,1.364064756370358,0.09037093092689874
Hybrid(Average)_16-54_1120_Back18_496.0.csv,7.8623,-0.0004,5.5251872,2.2847236230778574,6.6421,0.15962500000000013,5.978497776771352,-1.7914518933362704,1.457285400872288
Hybrid(Average)_16-54_1126_Back541_499.0.csv,6.746,-0.003,1.0785756,2.091683730063236,0.0458,0.3454,2.3524648798016092,1.8401059340182546,1.804053768446792
Hybrid(Average)_16-54_1127_Back19_498.0.csv,6.7215,4.4609,6.6222025,0.21243755298361838,6.6571,0.03220000000000045,6.625605673084537,-8.120395716319154,69.99442055026239
Hybrid(Average)_16-54_1128_Back20_497.0.csv,6.7269,-0.0074,6.199727800000001,1.6355070105103766,6.6536,0.033500000000000085,6.411617041927879,-3.3840692994696124,9.629766511873656
Hybrid(Average)_16-54_1182_Back571_521.0.csv,7.1459,-0.0027,1.5712227,2.4129188188252315,0.09054999999999999,2.481675,2.8783842380769804,1.2943381611155973,0.02196775316930033
Hybrid(Average)_16-54_1183_Back21_520.0.csv,7.0972,0.0008,5.5596574,2.3271291117787443,6.6877,0.09004999999999974,6.0265997692197875,-1.7220739297448135,1.1833605139008263
Hybrid(Average)_16-54_1184_Back22_519.0.csv,6.774,0.0126,5.9606153,1.962250964378184,6.6533,0.044299999999999784,6.2749910894717615,-2.5231943246516466,4.484983373396611
Hybrid(Average)_16-54_1190_Back574_522.0.csv,6.9917,-0.0062,0.9068082,1.740078259556777,0.06665,0.49192499999999995,1.9614141807940513,2.08582352180451,3.194128110112871
Hybrid(Average)_16-54_1191_Back23_521.0.csv,6.7967,-0.0004,3.9049468,3.1927644113363667,6.631,6.6228750000000005,5.043030869679463,-0.3337237350977996,-1.8539102844680162
Hybrid(Average)_16-54_1192_Back24_520.0.csv,6.7288,6.5813,6.648321200000001,0.023800239535810588,6.6469,0.030974999999999753,6.648363758348365,0.43757930758406444,0.2923258916260356
Hybrid(Average)_16-54_1193_Back25_519.0.csv,6.7234,6.5695,6.6396806999999995,0.025649859118185882,6.6383,0.03607499999999941,6.639730194466489,0.19082557917785353,-0.26038788837098137
Hybrid(Average)_16-54_1194_Back26_518.0.csv,6.7129,4.6903,6.637340700000001,0.06657375622967754,6.6373,0.03530000000000033,6.637674231297435,-25.037855429689362,730.1462409356351
