mean,Max,Min,Mean,Std,Median,IQR,RMS,Skewness,Kurtosis
전체 Go,6.640046,-0.006208,0.2849,0.836403,0.082122,0.162516,0.895986,6.732354,70.090426
전체 Hold,7.09956,-0.004458,0.712348,1.637474,0.052648,0.343657,1.792328,3.036906,9.62549
전체 Back,6.975431,2.001794,4.66495,1.745976,4.62597,2.589255,5.322496,-0.97301,12.601772
Go-Back의 Go,6.693977,-0.006279,0.208976,0.794335,0.026625,0.040946,0.821932,6.017331,43.453708
Hold-Back의 Hold,7.181883,-0.00593,0.848798,1.805926,0.133984,0.367905,2.00698,2.575797,6.173709
,,,,,,,,,
std,Max,Min,Mean,Std,Median,IQR,RMS,Skewness,Kurtosis
전체 Go,1.172318,0.005737,0.457367,0.482587,0.561552,0.870265,0.647365,4.444732,135.292848
전체 Hold,0.291349,0.005381,0.427042,0.539277,0.22134,1.041499,0.66822,1.095664,13.839888
전체 Back,0.325112,2.974237,1.99155,1.295677,2.922945,2.995377,1.452535,3.328391,62.98554
Go-Back의 Go,1.016315,0.005478,0.074049,0.209921,0.016475,0.025592,0.218896,2.031761,38.413552
Hold-Back의 Hold,0.312565,0.005734,0.51336,0.457509,0.784327,0.959839,0.650027,0.865825,5.034775
