Time,V,Label,Depth
2.2,0.0,-,
2.2002,0.0,-,
2.2004,0.0,-,
2.2006,0.0,-,
2.2008,0.0,-,
2.201,0.0,-,
2.2012,0.0,-,
2.2014,0.0,-,
2.2016,0.0,-,
2.2018,0.0,-,
2.202,0.0,-,
2.2022,0.0,-,
2.2024,0.0,-,
2.2026,0.0,-,
2.2028,0.0,-,
2.203,0.0,-,
2.2032,0.0,-,
2.2034,0.0,-,
2.2036,0.0,-,
2.2038,0.0,-,
2.204,0.0,-,
2.2042,0.0,-,
2.2044,0.0,-,
2.2046,0.0,-,
2.2048,0.0,-,
2.205,0.0,-,
2.2052,0.0,-,
2.2054,0.0,-,
2.2056,0.0,-,
2.2058,0.0,-,
2.206,0.0,-,
2.2062,0.0,-,
2.2064,0.0,-,
2.2066,0.0,-,
2.2068,0.0,-,
2.207,0.0,-,
2.2072,0.0,-,
2.2074,0.0,-,
2.2076,0.0,-,
2.2078,0.0,-,
2.208,0.0,-,
2.2082,0.0,-,
2.2084,0.0,-,
2.2086,0.0,-,
2.2088,0.0,-,
2.209,0.0,-,
2.2092,0.0,-,
2.2094,0.0,-,
2.2096,0.0,-,
2.2098,0.0,-,
2.21,0.0,-,
2.2102,0.0,-,
2.2104,0.0,-,
2.2106,0.0,-,
2.2108,0.0,-,
2.211,0.0,-,
2.2112,0.0,-,
2.2114,0.0,-,
2.2116,0.0,-,
2.2118,0.0,-,
2.212,0.0,-,
2.2122,0.0,-,
2.2124,0.0,-,
2.2126,0.0,-,
2.2128,0.0,-,
2.213,0.0,-,
2.2132,0.0,-,
2.2134,0.0,-,
2.2136,0.0,-,
2.2138,0.0,-,
2.214,0.0,-,
2.2142,0.0,-,
2.2144,0.0,-,
2.2146,0.0,-,
2.2148,0.0,-,
2.215,0.0,-,
2.2152,0.0,-,
2.2154,0.0,-,
2.2156,0.0,-,
2.2158,0.0,-,
2.216,0.0,-,
2.2162,0.0,-,
2.2164,0.0,-,
2.2166,0.0,-,
2.2168,0.0,-,
2.217,0.0,-,
2.2172,0.0,-,
2.2174,0.0,-,
2.2176,0.0,-,
2.2178,0.0,-,
2.218,0.0,-,
2.2182,0.0,-,
2.2184,0.0,-,
2.2186,0.0,-,
2.2188,0.0,-,
2.219,0.0,-,
2.2192,0.0,-,
2.2194,0.0,-,
2.2196,0.0,-,
2.2198,0.0,-,
2.22,0.0,-,
2.2202,0.0,-,
2.2204,0.0,-,
2.2206,0.0,-,
2.2208,0.0,-,
2.221,0.0,-,
2.2212,0.0,-,
2.2214,0.0,-,
2.2216,0.0,-,
2.2218,0.0,-,
2.222,0.0,-,
2.2222,0.0,-,
2.2224,0.0,-,
2.2226,0.0,-,
2.2228,0.0,-,
2.223,0.0,-,
2.2232,0.0,-,
2.2234,0.0,-,
2.2236,0.0,-,
2.2238,0.0,-,
2.224,0.0,-,
2.2242,0.0,-,
2.2244,0.0,-,
2.2246,0.0,-,
2.2248,0.0,-,
2.225,0.0,-,
2.2252,0.0,-,
2.2254,0.0,-,
2.2256,0.0,-,
2.2258,0.0,-,
2.226,0.0,-,
2.2262,0.0,-,
2.2264,0.0,-,
2.2266,0.0,-,
2.2268,0.0,-,
2.227,0.0,-,
2.2272,0.0,-,
2.2274,0.0,-,
2.2276,0.0,-,
2.2278,0.0,-,
2.228,0.0,-,
2.2282,0.0,-,
2.2284,0.0,-,
2.2286,0.0,-,
2.2288,0.0,-,
2.229,0.0,-,
2.2292,0.0,-,
2.2294,0.0,-,
2.2296,0.0,-,
2.2298,0.0,-,
2.23,0.0,-,
2.2302,0.0,-,
2.2304,0.0,-,
2.2306,0.0,-,
2.2308,0.0,-,
2.231,0.0,-,
2.2312,0.0,-,
2.2314,0.0,-,
2.2316,0.0,-,
2.2318,0.0,-,
2.232,0.0,-,
2.2322,0.0,-,
2.2324,0.0,-,
2.2326,0.0,-,
2.2328,0.0,-,
2.233,0.0,-,
2.2332,0.0,-,
2.2334,0.0,-,
2.2336,0.0,-,
2.2338,0.0,-,
2.234,0.0,-,
2.2342,0.0,-,
2.2344,0.0,-,
2.2346,0.0,-,
2.2348,0.0,-,
2.235,0.0,-,
2.2352,0.0,-,
2.2354,0.0,-,
2.2356,0.0,-,
2.2358,0.0,-,
2.236,0.0,-,
2.2362,0.0,-,
2.2364,0.0,-,
2.2366,0.0,-,
2.2368,0.0,-,
2.237,0.0,-,
2.2372,0.0,-,
2.2374,0.0,-,
2.2376,0.0,-,
2.2378,0.0,-,
2.238,0.0,-,
2.2382,0.0,-,
2.2384,0.0,-,
2.2386,0.0,-,
2.2388,0.0,-,
2.239,0.0,-,
2.2392,0.0,-,
2.2394,0.0,-,
2.2396,0.0,-,
2.2398,0.0,-,
2.24,0.0,-,
2.2402,0.0,-,
2.2404,0.0,-,
2.2406,0.0,-,
2.2408,0.0,-,
2.241,0.0,-,
2.2412,0.0,-,
2.2414,0.0,-,
2.2416,0.0,-,
2.2418,0.0,-,
2.242,0.0,-,
2.2422,0.0,-,
2.2424,0.0,-,
2.2426,0.0,-,
2.2428,0.0,-,
2.243,0.0,-,
2.2432,0.0,-,
2.2434,0.0,-,
2.2436,0.0,-,
2.2438,0.0,-,
2.244,0.0,-,
2.2442,0.0,-,
2.2444,0.0,-,
2.2446,0.0,-,
2.2448,0.0,-,
2.245,0.0,-,
2.2452,0.0,-,
2.2454,0.0,-,
2.2456,0.0,-,
2.2458,0.0,-,
2.246,0.0,-,
2.2462,0.0,-,
2.2464,0.0,-,
2.2466,0.0,-,
2.2468,0.0,-,
2.247,0.0,-,
2.2472,0.0,-,
2.2474,0.0,-,
2.2476,0.0,-,
2.2478,0.0,-,
2.248,0.0,-,
2.2482,0.0,-,
2.2484,0.0,-,
2.2486,0.0,-,
2.2488,0.0,-,
2.249,0.0,-,
2.2492,0.0,-,
2.2494,0.0,-,
2.2496,0.0,-,
2.2498,0.0,-,
2.25,0.0,-,
2.2502,0.0,-,
2.2504,0.0,-,
2.2506,0.0,-,
2.2508,0.0,-,
2.251,0.0,-,
2.2512,0.0,-,
2.2514,0.0,-,
2.2516,0.0,-,
2.2518,0.0,-,
2.252,0.0,-,
2.2522,0.0,-,
2.2524,0.0,-,
2.2526,0.0,-,
2.2528,0.0,-,
2.253,0.0,-,
2.2532,0.0,-,
2.2534,0.0,-,
2.2536,0.0,-,
2.2538,0.0,-,
2.254,0.0,-,
2.2542,0.0,-,
2.2544,0.0,-,
2.2546,0.0,-,
2.2548,0.0,-,
2.255,0.0,-,
2.2552,0.0,-,
2.2554,0.0,-,
2.2556,0.0,-,
2.2558,0.0,-,
2.256,0.0,-,
2.2562,0.0,-,
2.2564,0.0,-,
2.2566,0.0,-,
2.2568,0.0,-,
2.257,0.0,-,
2.2572,0.0,-,
2.2574,0.0,-,
2.2576,0.0,-,
2.2578,0.0,-,
2.258,0.0,-,
2.2582,0.0,-,
2.2584,0.0,-,
2.2586,0.0,-,
2.2588,0.0,-,
2.259,0.0,-,
2.2592,0.0,-,
2.2594,0.0,-,
2.2596,0.0,-,
2.2598,0.0,-,
2.26,0.0,-,
2.2602,0.0,-,
2.2604,0.0,-,
2.2606,0.0,-,
2.2608,0.0,-,
2.261,0.0,-,
2.2612,0.0,-,
2.2614,0.0,-,
2.2616,0.0,-,
2.2618,0.0,-,
2.262,0.0,-,
2.2622,0.0,-,
2.2624,0.0,-,
2.2626,0.0,-,
2.2628,0.0,-,
2.263,0.0,-,
2.2632,0.0,-,
2.2634,0.0,-,
2.2636,0.0,-,
2.2638,0.0,-,
2.264,0.0,-,
2.2642,0.0,-,
2.2644,0.0,-,
2.2646,0.0,-,
2.2648,0.0,-,
2.265,0.0,-,
2.2652,0.0,-,
2.2654,0.0,-,
2.2656,0.0,-,
2.2658,0.0,-,
2.266,0.0,-,
2.2662,0.0,-,
2.2664,0.0,-,
2.2666,0.0,-,
2.2668,0.0,-,
2.267,0.0,-,
2.2672,0.0,-,
2.2674,0.0,-,
2.2676,0.0,-,
2.2678,0.0,-,
2.268,0.0,-,
2.2682,0.0,-,
2.2684,0.0,-,
2.2686,0.0,-,
2.2688,0.0,-,
2.269,0.0,-,
2.2692,0.0,-,
2.2694,0.0,-,
2.2696,0.0,-,
2.2698,0.0,-,
2.27,0.0,-,
2.2702,0.0,-,
2.2704,0.0,-,
2.2706,0.0,-,
2.2708,0.0,-,
2.271,0.0,-,
2.2712,0.0,-,
2.2714,0.0,-,
2.2716,0.0,-,
2.2718,0.0,-,
2.272,0.0,-,
2.2722,0.0,-,
2.2724,0.0,-,
2.2726,0.0,-,
2.2728,0.0,-,
2.273,0.0,-,
2.2732,0.0,-,
2.2734,0.0,-,
2.2736,0.0,-,
2.2738,0.0,-,
2.274,0.0,-,
2.2742,0.0,-,
2.2744,0.0,-,
2.2746,0.0,-,
2.2748,0.0,-,
2.275,0.0,-,
2.2752,0.0,-,
2.2754,0.0,-,
2.2756,0.0,-,
2.2758,0.0,-,
2.276,0.0,-,
2.2762,0.0,-,
2.2764,0.0,-,
2.2766,0.0,-,
2.2768,0.0,-,
2.277,0.0,-,
2.2772,0.0,-,
2.2774,0.0,-,
2.2776,0.0,-,
2.2778,0.0,-,
2.278,0.0,-,
2.2782,0.0,-,
2.2784,0.0,-,
2.2786,0.0,-,
2.2788,0.0,-,
2.279,0.0,-,
2.2792,0.0,-,
2.2794,0.0,-,
2.2796,0.0,-,
2.2798,0.0,-,
2.28,0.0,-,
2.2802,0.0,-,
2.2804,0.0,-,
2.2806,0.0,-,
2.2808,0.0,-,
2.281,0.0,-,
2.2812,0.0,-,
2.2814,0.0,-,
2.2816,0.0,-,
2.2818,0.0,-,
2.282,0.0,-,
2.2822,0.0,-,
2.2824,0.0,-,
2.2826,0.0,-,
2.2828,0.0,-,
2.283,0.0,-,
2.2832,0.0,-,
2.2834,0.0,-,
2.2836,0.0,-,
2.2838,0.0,-,
2.284,0.0,-,
2.2842,0.0,-,
2.2844,0.0,-,
2.2846,0.0,-,
2.2848,0.0,-,
2.285,0.0,-,
2.2852,0.0,-,
2.2854,0.0,-,
2.2856,0.0,-,
2.2858,0.0,-,
2.286,0.0,-,
2.2862,0.0,-,
2.2864,0.0,-,
2.2866,0.0,-,
2.2868,0.0,-,
2.287,0.0,-,
2.2872,0.0,-,
2.2874,0.0,-,
2.2876,0.0,-,
2.2878,0.0,-,
2.288,0.0,-,
2.2882,0.0,-,
2.2884,0.0,-,
2.2886,0.0,-,
2.2888,0.0,-,
2.289,0.0,-,
2.2892,0.0,-,
2.2894,0.0,-,
2.2896,0.0,-,
2.2898,0.0,-,
2.29,0.0,-,
2.2902,0.0,-,
2.2904,0.0,-,
2.2906,0.0,-,
2.2908,0.0,-,
2.291,0.0,-,
2.2912,0.0,-,
2.2914,0.0,-,
2.2916,0.0,-,
2.2918,0.0,-,
2.292,0.0,-,
2.2922,0.0,-,
2.2924,0.0,-,
2.2926,0.0,-,
2.2928,0.0,-,
2.293,0.0,-,
2.2932,0.0,-,
2.2934,0.0,-,
2.2936,0.0,-,
2.2938,0.0,-,
2.294,0.0,-,
2.2942,0.0,-,
2.2944,0.0,-,
2.2946,0.0,-,
2.2948,0.0,-,
2.295,0.0,-,
2.2952,0.0,-,
2.2954,0.0,-,
2.2956,0.0,-,
2.2958,0.0,-,
2.296,0.0,-,
2.2962,0.0,-,
2.2964,0.0,-,
2.2966,0.0,-,
2.2968,0.0,-,
2.297,0.0,-,
2.2972,0.0,-,
2.2974,0.0,-,
2.2976,0.0,-,
2.2978,0.0,-,
2.298,0.0,-,
2.2982,0.0,-,
2.2984,0.0,-,
2.2986,0.0,-,
2.2988,0.0,-,
2.299,0.0,-,
2.2992,0.0,-,
2.2994,0.0,-,
2.2996,0.0,-,
