Time,V,Label,Depth
316.8,0.2284,Hold,
316.8002,0.0149,Hold,
316.8004,0.0117,Hold,
316.8006,0.0184,Hold,
316.8008,0.9562,Hold,
316.801,0.0738,Hold,
316.8012,0.0499,Hold,
316.8014,0.0499,Hold,
316.8016,0.0611,Hold,
316.8018,0.1035,Hold,
316.802,1.1621,Hold,
316.8022,0.0486,Hold,
316.8024,0.0318,Hold,
316.8026,0.0369,Hold,
316.8028,0.0464,Hold,
316.803,0.0206,Hold,
316.8032,0.0302,Hold,
316.8034,0.0263,Hold,
316.8036,0.3039,Hold,
316.8038,0.02,Hold,
316.804,0.0525,Hold,
316.8042,2.7324,Hold,
316.8044,5.6648,Hold,
316.8046,1.96,Hold,
316.8048,0.9253,Hold,
316.805,1.865,Hold,
316.8052,0.0158,Hold,
316.8054,0.0152,Hold,
316.8056,0.0232,Hold,
316.8058,2.8609,Hold,
316.806,0.0397,Hold,
316.8062,0.519,Hold,
316.8064,0.0496,Hold,
316.8066,0.005,Hold,
316.8068,0.0219,Hold,
316.807,1.8408,Hold,
316.8072,0.0298,Hold,
316.8074,0.0267,Hold,
316.8076,0.0646,Hold,
316.8078,0.0627,Hold,
316.808,2.4291,Hold,
316.8082,0.0369,Hold,
316.8084,0.0279,Hold,
316.8086,0.0247,Hold,
316.8088,0.0283,Hold,
316.809,0.0238,Hold,
316.8092,0.0614,Hold,
316.8094,0.0378,Hold,
316.8096,0.0321,Hold,
316.8098,0.1191,Hold,
316.81,0.0314,Hold,
316.8102,0.0353,Hold,
316.8104,0.0318,Hold,
316.8106,0.011,Hold,
316.8108,0.019,Hold,
316.811,0.02,Hold,
316.8112,0.019,Hold,
316.8114,0.0174,Hold,
316.8116,0.8154,Hold,
316.8118,0.0569,Hold,
316.812,0.0314,Hold,
316.8122,0.019,Hold,
316.8124,0.2038,Hold,
316.8126,0.1344,Hold,
316.8128,0.0126,Hold,
316.813,5.6441,Hold,
316.8132,0.0522,Hold,
316.8134,0.0206,Hold,
316.8136,0.0232,Hold,
316.8138,0.0362,Hold,
316.814,0.0407,Hold,
316.8142,0.0458,Hold,
316.8144,0.2159,Hold,
316.8146,0.0391,Hold,
316.8148,0.0343,Hold,
316.815,0.0384,Hold,
316.8152,0.1321,Hold,
316.8154,0.02,Hold,
316.8156,3.5724,Hold,
316.8158,0.0451,Hold,
316.816,0.0585,Hold,
316.8162,0.308,Hold,
316.8164,0.0416,Hold,
316.8166,0.0528,Hold,
316.8168,0.084,Hold,
316.817,0.034,Hold,
316.8172,3.2499,Hold,
316.8174,0.0802,Hold,
316.8176,0.0276,Hold,
316.8178,0.033,Hold,
316.818,2.728,Hold,
316.8182,5.7808,Hold,
316.8184,2.9195,Hold,
316.8186,6.5685,Hold,
316.8188,6.5663,Hold,
316.819,1.3714,Hold,
316.8192,0.1627,Hold,
316.8194,0.0582,Hold,
316.8196,0.0107,Hold,
316.8198,0.0085,Hold,
316.82,5.7349,Hold,
316.8202,0.0209,Hold,
316.8204,0.0072,Hold,
316.8206,0.0161,Hold,
316.8208,0.0133,Hold,
316.821,0.0136,Hold,
316.8212,0.0228,Hold,
316.8214,0.194,Hold,
316.8216,0.0987,Hold,
316.8218,0.0388,Hold,
316.822,0.2669,Hold,
316.8222,4.3579,Hold,
316.8224,5.0816,Hold,
316.8226,5.501,Hold,
316.8228,0.0646,Hold,
316.823,0.0477,Hold,
316.8232,0.049,Hold,
316.8234,0.1736,Hold,
316.8236,0.0878,Hold,
316.8238,0.0139,Hold,
316.824,0.0283,Hold,
316.8242,0.0776,Hold,
316.8244,0.0579,Hold,
316.8246,0.3966,Hold,
316.8248,0.0222,Hold,
316.825,0.0945,Hold,
316.8252,0.0279,Hold,
316.8254,1.8708,Hold,
316.8256,0.0136,Hold,
316.8258,0.0289,Hold,
316.826,0.0432,Hold,
316.8262,0.0184,Hold,
316.8264,2.9816,Hold,
316.8266,0.1162,Hold,
316.8268,0.0219,Hold,
316.827,0.0145,Hold,
316.8272,0.2739,Hold,
316.8274,0.1305,Hold,
316.8276,0.0142,Hold,
316.8278,0.0327,Hold,
316.828,0.0203,Hold,
316.8282,0.0544,Hold,
316.8284,0.0789,Hold,
316.8286,0.0381,Hold,
316.8288,1.8762,Hold,
316.829,0.3198,Hold,
316.8292,0.0298,Hold,
316.8294,0.107,Hold,
316.8296,0.0123,Hold,
316.8298,0.0072,Hold,
316.83,1.2972,Hold,
316.8302,3.6218,Hold,
316.8304,0.0413,Hold,
316.8306,5.4608,Hold,
316.8308,4.226,Hold,
316.831,6.5959,Hold,
316.8312,6.6195,Hold,
316.8314,6.6689,Hold,
316.8316,6.6236,Hold,
316.8318,6.644,Hold,
316.832,6.6498,Hold,
316.8322,6.5975,Hold,
316.8324,6.544,Hold,
316.8326,4.8477,Hold,
316.8328,5.4462,Hold,
