Time,V,Label,Depth
20.8,-0.0001,Go,
20.8002,0.0015,Go,
20.8004,-0.0007,Go,
20.8006,0.0012,Go,
20.8008,-0.0004,Go,
20.801,-0.0001,Go,
20.8012,0.0012,Go,
20.8014,-0.0004,Go,
20.8016,-0.0027,Go,
20.8018,-0.0036,Go,
20.802,-0.0043,Go,
20.8022,-0.0074,Go,
20.8024,-0.0087,Go,
20.8026,-0.0094,Go,
20.8028,-0.0103,Go,
20.803,-0.0094,Go,
20.8032,-0.0103,Go,
20.8034,-0.0113,Go,
20.8036,-0.0058,Go,
20.8038,-0.0039,Go,
20.804,-0.0011,Go,
20.8042,0.0012,Go,
20.8044,0.0024,Go,
20.8046,0.0018,Go,
20.8048,-0.0014,Go,
20.805,0.0008,Go,
20.8052,0.0034,Go,
20.8054,0.0015,Go,
20.8056,0.0002,Go,
20.8058,0.0008,Go,
20.806,-0.0001,Go,
20.8062,0.0012,Go,
20.8064,0.0002,Go,
20.8066,0.0012,Go,
20.8068,-0.0007,Go,
20.807,-0.0001,Go,
20.8072,0.0005,Go,
20.8074,-0.0004,Go,
20.8076,-0.0004,Go,
20.8078,-0.0014,Go,
20.808,-0.0004,Go,
20.8082,-0.0007,Go,
20.8084,-0.0007,Go,
20.8086,0.0008,Go,
20.8088,-0.0007,Go,
20.809,-0.0007,Go,
20.8092,0.0008,Go,
20.8094,0.0018,Go,
20.8096,-0.0011,Go,
20.8098,-0.0036,Go,
20.81,-0.0058,Go,
20.8102,-0.0052,Go,
20.8104,-0.0068,Go,
20.8106,-0.0046,Go,
20.8108,-0.0039,Go,
20.811,-0.0039,Go,
20.8112,-0.003,Go,
20.8114,-0.0039,Go,
20.8116,-0.002,Go,
20.8118,0.0002,Go,
20.812,-0.0001,Go,
20.8122,-0.0007,Go,
20.8124,0.0015,Go,
20.8126,0.0018,Go,
20.8128,-0.0007,Go,
20.813,-0.0027,Go,
20.8132,0.0008,Go,
20.8134,-0.0014,Go,
20.8136,-0.0001,Go,
20.8138,-0.0001,Go,
20.814,0.0008,Go,
20.8142,-0.0007,Go,
20.8144,-0.0023,Go,
20.8146,-0.0004,Go,
20.8148,-0.0011,Go,
20.815,-0.0004,Go,
20.8152,-0.0001,Go,
20.8154,0.0012,Go,
20.8156,-0.0004,Go,
20.8158,0.0008,Go,
20.816,-0.0001,Go,
20.8162,-0.0001,Go,
20.8164,-0.0004,Go,
20.8166,-0.0027,Go,
20.8168,0.0002,Go,
20.817,-0.0011,Go,
20.8172,0.0002,Go,
20.8174,0.0002,Go,
20.8176,0.0002,Go,
20.8178,-0.0004,Go,
20.818,0.0012,Go,
20.8182,-0.0001,Go,
20.8184,-0.0001,Go,
20.8186,-0.0014,Go,
20.8188,-0.0001,Go,
20.819,-0.0011,Go,
20.8192,-0.0017,Go,
20.8194,-0.0036,Go,
20.8196,-0.0055,Go,
20.8198,-0.0074,Go,
20.82,-0.009,Go,
20.8202,-0.0119,Go,
20.8204,-0.0065,Go,
20.8206,-0.0068,Go,
20.8208,-0.0049,Go,
20.821,-0.002,Go,
20.8212,0.0008,Go,
20.8214,0.0012,Go,
20.8216,0.0012,Go,
20.8218,0.0012,Go,
20.822,0.0018,Go,
20.8222,0.0015,Go,
20.8224,0.0005,Go,
20.8226,0.0002,Go,
20.8228,0.0008,Go,
20.823,0.0002,Go,
20.8232,0.0005,Go,
20.8234,0.0008,Go,
20.8236,0.0012,Go,
20.8238,-0.0001,Go,
20.824,0.0008,Go,
20.8242,0.0002,Go,
20.8244,0.0002,Go,
20.8246,0.0002,Go,
20.8248,-0.0007,Go,
20.825,-0.0004,Go,
20.8252,0.0002,Go,
20.8254,0.0018,Go,
20.8256,-0.0001,Go,
20.8258,-0.0007,Go,
