Time,V,Label,Depth
435.8,0.1366,Back,
435.8002,0.3415,Back,
435.8004,3.828,Back,
435.8006,0.106,Back,
435.8008,0.0525,Back,
435.801,0.0486,Back,
435.8012,0.7446,Back,
435.8014,0.2962,Back,
435.8016,0.0945,Back,
435.8018,0.0856,Back,
435.802,0.049,Back,
435.8022,0.0541,Back,
435.8024,0.1732,Back,
435.8026,0.1618,Back,
435.8028,0.0716,Back,
435.803,0.0761,Back,
435.8032,0.1242,Back,
435.8034,0.0391,Back,
435.8036,0.0126,Back,
435.8038,0.0158,Back,
435.804,0.6344,Back,
435.8042,0.2389,Back,
435.8044,0.163,Back,
435.8046,0.1328,Back,
435.8048,0.0821,Back,
435.805,0.0815,Back,
435.8052,6.6087,Back,
435.8054,6.5838,Back,
435.8056,6.6125,Back,
435.8058,6.5762,Back,
435.806,6.5707,Back,
435.8062,3.3083,Back,
435.8064,1.2035,Back,
435.8066,0.0913,Back,
435.8068,0.489,Back,
435.807,4.5772,Back,
435.8072,0.0729,Back,
435.8074,0.0725,Back,
435.8076,1.9791,Back,
435.8078,2.2758,Back,
435.808,0.2038,Back,
435.8082,1.4071,Back,
435.8084,3.4778,Back,
435.8086,0.0283,Back,
435.8088,0.0196,Back,
435.809,0.0251,Back,
435.8092,0.0232,Back,
435.8094,4.8155,Back,
435.8096,0.099,Back,
435.8098,0.0582,Back,
435.81,0.6149,Back,
435.8102,0.1216,Back,
435.8104,0.1395,Back,
435.8106,0.1127,Back,
435.8108,5.2575,Back,
435.811,0.0569,Back,
435.8112,0.1025,Back,
435.8114,3.002,Back,
435.8116,0.0808,Back,
435.8118,1.0951,Back,
435.812,0.0671,Back,
435.8122,0.034,Back,
435.8124,0.3753,Back,
435.8126,0.0627,Back,
435.8128,0.5512,Back,
435.813,0.0776,Back,
435.8132,0.0525,Back,
435.8134,0.2402,Back,
435.8136,0.0837,Back,
435.8138,0.1168,Back,
435.814,0.0337,Back,
435.8142,0.04,Back,
435.8144,0.0161,Back,
435.8146,0.0668,Back,
435.8148,0.1184,Back,
435.815,0.4049,Back,
435.8152,0.1369,Back,
435.8154,0.0789,Back,
435.8156,0.5062,Back,
435.8158,0.0604,Back,
435.816,0.1325,Back,
435.8162,0.0515,Back,
435.8164,0.4792,Back,
435.8166,0.0623,Back,
435.8168,2.7248,Back,
435.817,0.1239,Back,
435.8172,0.5862,Back,
435.8174,0.0735,Back,
435.8176,0.0241,Back,
435.8178,0.0824,Back,
435.818,0.1783,Back,
435.8182,0.0996,Back,
435.8184,5.7247,Back,
435.8186,5.6383,Back,
435.8188,6.6354,Back,
435.819,6.6074,Back,
435.8192,6.5953,Back,
435.8194,6.5612,Back,
435.8196,3.2053,Back,
435.8198,0.0665,Back,
435.82,0.063,Back,
435.8202,0.1634,Back,
435.8204,0.6296,Back,
435.8206,0.07,Back,
435.8208,0.3186,Back,
435.821,0.048,Back,
435.8212,3.139,Back,
435.8214,0.1296,Back,
435.8216,3.031,Back,
435.8218,3.3296,Back,
435.822,5.3174,Back,
435.8222,6.6319,Back,
435.8224,6.6118,Back,
435.8226,6.6307,Back,
435.8228,6.5905,Back,
435.823,6.5844,Back,
435.8232,0.0534,Back,
435.8234,0.0875,Back,
435.8236,0.0783,Back,
435.8238,0.0435,Back,
435.824,5.1129,Back,
435.8242,0.2717,Back,
435.8244,0.1685,Back,
435.8246,1.6901,Back,
435.8248,0.0659,Back,
435.825,0.0228,Back,
435.8252,0.0276,Back,
435.8254,1.4097,Back,
435.8256,1.1159,Back,
435.8258,0.0761,Back,
435.826,0.3421,Back,
435.8262,5.5593,Back,
435.8264,0.25,Back,
435.8266,0.0639,Back,
435.8268,0.0413,Back,
435.827,0.0655,Back,
435.8272,0.1159,Back,
435.8274,0.0898,Back,
435.8276,0.0668,Back,
435.8278,0.0289,Back,
435.828,0.0324,Back,
435.8282,0.0353,Back,
435.8284,0.0375,Back,
435.8286,0.0474,Back,
