Time,V,Label,Depth
546.8,0.0582,Go,
546.8002,1.1974,Go,
546.8004,0.0152,Go,
546.8006,0.7621,Go,
546.8008,0.2198,Go,
546.801,0.1152,Go,
546.8012,0.3903,Go,
546.8014,0.5021,Go,
546.8016,4.1613,Go,
546.8018,0.2019,Go,
546.802,0.0674,Go,
546.8022,0.2564,Go,
546.8024,0.692,Go,
546.8026,0.3995,Go,
546.8028,0.3179,Go,
546.803,0.0435,Go,
546.8032,1.8558,Go,
546.8034,0.0764,Go,
546.8036,0.0161,Go,
546.8038,0.1041,Go,
546.804,0.0193,Go,
546.8042,0.0337,Go,
546.8044,0.005,Go,
546.8046,0.0174,Go,
546.8048,0.013,Go,
546.805,0.2481,Go,
546.8052,0.0193,Go,
546.8054,0.0267,Go,
546.8056,0.2172,Go,
546.8058,0.0674,Go,
546.806,0.0267,Go,
546.8062,0.0104,Go,
546.8064,0.0222,Go,
546.8066,0.0668,Go,
546.8068,0.0302,Go,
546.807,0.0181,Go,
546.8072,0.0439,Go,
546.8074,0.0557,Go,
546.8076,0.0079,Go,
546.8078,0.0044,Go,
546.808,0.0544,Go,
546.8082,0.0391,Go,
546.8084,0.0104,Go,
546.8086,0.0187,Go,
546.8088,0.0206,Go,
546.809,0.0429,Go,
546.8092,0.1028,Go,
546.8094,1.1828,Go,
546.8096,0.2118,Go,
546.8098,0.0761,Go,
546.81,0.0404,Go,
546.8102,0.2112,Go,
546.8104,0.2762,Go,
546.8106,0.1889,Go,
546.8108,0.1105,Go,
546.811,0.1031,Go,
546.8112,0.0678,Go,
546.8114,0.0426,Go,
546.8116,3.22,Go,
546.8118,0.0244,Go,
546.812,0.0107,Go,
546.8122,0.0295,Go,
546.8124,0.0289,Go,
546.8126,0.0145,Go,
546.8128,0.0177,Go,
546.813,0.1022,Go,
546.8132,0.0308,Go,
546.8134,0.04,Go,
546.8136,0.0442,Go,
546.8138,0.027,Go,
546.814,0.1455,Go,
546.8142,0.0276,Go,
546.8144,0.0244,Go,
546.8146,0.0305,Go,
546.8148,0.0977,Go,
546.815,0.0292,Go,
546.8152,0.0232,Go,
546.8154,0.0286,Go,
546.8156,0.0155,Go,
546.8158,0.0898,Go,
546.816,0.0429,Go,
546.8162,0.0149,Go,
546.8164,0.0136,Go,
546.8166,0.019,Go,
546.8168,0.0362,Go,
546.817,0.0216,Go,
546.8172,0.1436,Go,
546.8174,0.1481,Go,
546.8176,0.1047,Go,
546.8178,0.0623,Go,
546.818,0.0349,Go,
546.8182,0.0547,Go,
546.8184,0.0429,Go,
546.8186,0.2497,Go,
546.8188,0.0662,Go,
546.819,0.0525,Go,
546.8192,0.8778,Go,
546.8194,0.0455,Go,
546.8196,0.033,Go,
546.8198,0.0569,Go,
546.82,0.0305,Go,
546.8202,0.1079,Go,
546.8204,0.3189,Go,
546.8206,0.3259,Go,
546.8208,0.3906,Go,
546.821,0.1583,Go,
546.8212,1.0467,Go,
546.8214,0.1796,Go,
546.8216,3.1967,Go,
546.8218,0.0181,Go,
546.822,0.0136,Go,
546.8222,0.0305,Go,
546.8224,0.055,Go,
546.8226,0.0066,Go,
546.8228,0.0423,Go,
546.823,0.0216,Go,
546.8232,0.1108,Go,
546.8234,0.1022,Go,
546.8236,0.0047,Go,
546.8238,0.0222,Go,
546.824,0.0222,Go,
546.8242,0.1108,Go,
546.8244,0.0225,Go,
546.8246,0.0161,Go,
546.8248,0.027,Go,
546.825,0.1742,Go,
546.8252,0.0117,Go,
546.8254,0.0257,Go,
546.8256,0.8488,Go,
546.8258,0.0206,Go,
546.826,0.0053,Go,
546.8262,0.2185,Go,
546.8264,0.0257,Go,
546.8266,0.0445,Go,
546.8268,0.0365,Go,
546.827,0.0378,Go,
546.8272,0.0193,Go,
546.8274,0.0196,Go,
546.8276,0.0862,Go,
546.8278,0.0796,Go,
546.828,0.0098,Go,
546.8282,0.0333,Go,
546.8284,0.3122,Go,
546.8286,0.0518,Go,
546.8288,0.0082,Go,
546.829,0.0977,Go,
546.8292,0.0461,Go,
546.8294,0.0384,Go,
546.8296,0.273,Go,
546.8298,0.0802,Go,
546.83,2.2318,Go,
546.8302,0.163,Go,
546.8304,0.6229,Go,
546.8306,0.3842,Go,
546.8308,0.0579,Go,
546.831,0.0072,Go,
546.8312,0.0247,Go,
546.8314,0.0942,Go,
546.8316,0.0461,Go,
546.8318,0.0063,Go,
546.832,0.092,Go,
546.8322,0.026,Go,
546.8324,0.6105,Go,
546.8326,0.0063,Go,
546.8328,0.005,Go,
546.833,0.0149,Go,
546.8332,0.0244,Go,
546.8334,0.0184,Go,
546.8336,0.0847,Go,
546.8338,0.3574,Go,
546.834,0.0407,Go,
546.8342,0.0534,Go,
546.8344,0.0359,Go,
546.8346,0.0286,Go,
546.8348,4.8997,Go,
546.835,0.0327,Go,
546.8352,0.0295,Go,
546.8354,0.019,Go,
546.8356,0.0435,Go,
546.8358,0.0601,Go,
546.836,0.04,Go,
546.8362,0.0725,Go,
546.8364,0.0031,Go,
546.8366,-0.0004,Go,
546.8368,0.1063,Go,
546.837,0.0767,Go,
546.8372,0.0324,Go,
546.8374,0.0053,Go,
546.8376,0.0095,Go,
546.8378,0.0244,Go,
