Time,V,Label,Depth
94.8,-0.002,위치조정중,
94.8002,-0.0014,위치조정중,
94.8004,0.0028,위치조정중,
94.8006,0.0044,위치조정중,
94.8008,0.0031,위치조정중,
94.801,0.0082,위치조정중,
94.8012,0.0034,위치조정중,
94.8014,0.0059,위치조정중,
94.8016,0.0021,위치조정중,
94.8018,0.0015,위치조정중,
94.802,0.0031,위치조정중,
94.8022,0.0034,위치조정중,
94.8024,0.004,위치조정중,
94.8026,0.0063,위치조정중,
94.8028,0.0082,위치조정중,
94.803,0.2695,위치조정중,
94.8032,0.0037,위치조정중,
94.8034,0.005,위치조정중,
94.8036,0.0063,위치조정중,
94.8038,0.0056,위치조정중,
94.804,0.0047,위치조정중,
94.8042,0.0047,위치조정중,
94.8044,0.0075,위치조정중,
94.8046,0.0002,위치조정중,
94.8048,0.0034,위치조정중,
94.805,0.0117,위치조정중,
94.8052,0.0136,위치조정중,
94.8054,0.0254,위치조정중,
94.8056,0.0095,위치조정중,
94.8058,0.0187,위치조정중,
94.806,0.0824,위치조정중,
94.8062,0.0063,위치조정중,
94.8064,0.004,위치조정중,
94.8066,0.0024,위치조정중,
94.8068,0.0012,위치조정중,
94.807,-0.0011,위치조정중,
94.8072,-0.0043,위치조정중,
94.8074,-0.0027,위치조정중,
94.8076,-0.0049,위치조정중,
94.8078,0.0008,위치조정중,
94.808,0.0095,위치조정중,
94.8082,0.2456,위치조정중,
94.8084,0.004,위치조정중,
94.8086,0.004,위치조정중,
94.8088,0.0021,위치조정중,
94.809,0.04,위치조정중,
94.8092,-0.0004,위치조정중,
94.8094,0.0085,위치조정중,
94.8096,0.013,위치조정중,
94.8098,0.0209,위치조정중,
94.81,0.6171,위치조정중,
94.8102,0.0024,위치조정중,
94.8104,0.0018,위치조정중,
94.8106,0.0015,위치조정중,
94.8108,0.0015,위치조정중,
94.811,0.0018,위치조정중,
94.8112,0.0044,위치조정중,
94.8114,0.0015,위치조정중,
94.8116,0.0021,위치조정중,
94.8118,0.0066,위치조정중,
94.812,0.0104,위치조정중,
94.8122,0.0152,위치조정중,
94.8124,0.005,위치조정중,
94.8126,0.0665,위치조정중,
94.8128,0.0012,위치조정중,
94.813,0.0056,위치조정중,
94.8132,0.011,위치조정중,
94.8134,0.0152,위치조정중,
94.8136,0.011,위치조정중,
94.8138,0.0056,위치조정중,
94.814,0.0149,위치조정중,
94.8142,0.0079,위치조정중,
94.8144,0.0018,위치조정중,
94.8146,0.0063,위치조정중,
94.8148,0.0126,위치조정중,
94.815,0.2073,위치조정중,
94.8152,0.0072,위치조정중,
94.8154,0.0008,위치조정중,
94.8156,0.0088,위치조정중,
94.8158,2.5339,위치조정중,
94.816,0.0028,위치조정중,
94.8162,0.012,위치조정중,
94.8164,0.0171,위치조정중,
94.8166,0.0028,위치조정중,
94.8168,0.0085,위치조정중,
94.817,0.0193,위치조정중,
94.8172,0.0082,위치조정중,
94.8174,0.0104,위치조정중,
94.8176,0.0028,위치조정중,
94.8178,0.0012,위치조정중,
94.818,1.4536,위치조정중,
94.8182,0.0037,위치조정중,
94.8184,0.0015,위치조정중,
94.8186,0.0098,위치조정중,
94.8188,0.0053,위치조정중,
