Time,V,Label,Depth
356.0,0.2121,Go,661.0
356.0002,0.4333,Go,661.001001001001
356.0004,0.7472,Go,661.002002002002
356.0006,0.3444,Go,661.003003003003
356.0008,0.192,Go,661.0040040040041
356.001,0.0907,Go,661.005005005005
356.0012,0.0404,Go,661.006006006006
356.0014,0.0435,Go,661.007007007007
356.0016,0.2488,Go,661.008008008008
356.0018,0.0821,Go,661.009009009009
356.002,0.7793,Go,661.01001001001
356.0022,0.085,Go,661.011011011011
356.0024,0.0216,Go,661.0120120120121
356.0026,0.0279,Go,661.013013013013
356.0028,0.0337,Go,661.014014014014
356.003,0.0949,Go,661.015015015015
356.0032,0.0502,Go,661.016016016016
356.0034,0.0572,Go,661.017017017017
356.0036,0.0541,Go,661.018018018018
356.0038,0.0792,Go,661.019019019019
356.004,0.4546,Go,661.0200200200201
356.0042,0.0821,Go,661.021021021021
356.0044,0.1752,Go,661.022022022022
356.0046,0.1009,Go,661.023023023023
356.0048,0.033,Go,661.024024024024
356.005,0.4549,Go,661.025025025025
356.0052,0.3507,Go,661.026026026026
356.0054,0.5254,Go,661.027027027027
356.0056,2.3854,Go,661.0280280280281
356.0058,0.5212,Go,661.0290290290291
356.006,0.0811,Go,661.03003003003
356.0062,0.1704,Go,661.031031031031
356.0064,2.243,Go,661.032032032032
356.0066,0.1121,Go,661.033033033033
356.0068,4.9564,Go,661.034034034034
356.007,0.149,Go,661.035035035035
356.0072,0.0512,Go,661.0360360360361
356.0074,0.0563,Go,661.0370370370371
356.0076,0.0133,Go,661.038038038038
356.0078,0.0308,Go,661.039039039039
356.008,0.0318,Go,661.04004004004
356.0082,0.0283,Go,661.041041041041
356.0084,4.8238,Go,661.042042042042
356.0086,0.2277,Go,661.0430430430431
356.0088,0.1643,Go,661.0440440440441
356.009,0.0206,Go,661.0450450450451
356.0092,0.2551,Go,661.0460460460461
356.0094,0.4935,Go,661.047047047047
356.0096,0.4033,Go,661.048048048048
356.0098,0.0579,Go,661.049049049049
356.01,0.02,Go,661.05005005005
356.0102,0.418,Go,661.0510510510511
356.0104,2.0059,Go,661.0520520520521
356.0106,0.0308,Go,661.0530530530531
356.0108,0.1248,Go,661.0540540540541
356.011,0.0228,Go,661.055055055055
