Time,V,Label,Depth
524.6,0.0238,Back,895.0
524.6002,0.0337,Back,894.998998998999
524.6004,0.0429,Back,894.997997997998
524.6006,3.8494,Back,894.996996996997
524.6008,5.0504,Back,894.9959959959959
524.601,4.734,Back,894.994994994995
524.6012,4.6839,Back,894.993993993994
524.6014,4.5077,Back,894.992992992993
524.6016,4.5412,Back,894.991991991992
524.6018,4.5619,Back,894.990990990991
524.602,4.3366,Back,894.98998998999
524.6022,4.3882,Back,894.988988988989
524.6024,4.4937,Back,894.9879879879879
524.6026,4.3939,Back,894.986986986987
524.6028,4.5354,Back,894.985985985986
524.603,4.4335,Back,894.984984984985
524.6032,4.2805,Back,894.983983983984
524.6034,4.4041,Back,894.982982982983
524.6036,4.5785,Back,894.981981981982
524.6038,4.2445,Back,894.980980980981
524.604,5.1973,Back,894.9799799799799
524.6042,4.2891,Back,894.978978978979
524.6044,4.3057,Back,894.977977977978
524.6046,4.4035,Back,894.976976976977
524.6048,5.7846,Back,894.975975975976
524.605,4.5303,Back,894.974974974975
524.6052,6.2275,Back,894.973973973974
524.6054,6.2718,Back,894.972972972973
524.6056,6.1759,Back,894.9719719719719
524.6058,6.0147,Back,894.9709709709709
524.606,4.0829,Back,894.96996996997
524.6062,4.1005,Back,894.968968968969
524.6064,5.3499,Back,894.967967967968
524.6066,0.012,Back,894.966966966967
524.6068,1.6659,Back,894.965965965966
524.607,1.4339,Back,894.964964964965
524.6072,0.0066,Back,894.9639639639639
524.6074,0.0095,Back,894.9629629629629
524.6076,0.0088,Back,894.961961961962
524.6078,0.2484,Back,894.960960960961
524.608,4.8598,Back,894.95995995996
524.6082,0.0069,Back,894.958958958959
524.6084,0.012,Back,894.957957957958
524.6086,0.012,Back,894.9569569569569
524.6088,0.0356,Back,894.9559559559559
524.609,0.0095,Back,894.9549549549549
524.6092,0.0123,Back,894.9539539539539
524.6094,0.0206,Back,894.952952952953
524.6096,0.0047,Back,894.951951951952
524.6098,2.951,Back,894.950950950951
524.61,2.7241,Back,894.94994994995
524.6102,0.0066,Back,894.9489489489489
524.6104,0.0333,Back,894.9479479479479
524.6106,0.0104,Back,894.9469469469469
524.6108,0.0142,Back,894.9459459459459
524.611,2.7063,Back,894.944944944945
524.6112,0.0196,Back,894.943943943944
524.6114,0.048,Back,894.942942942943
524.6116,0.041,Back,894.941941941942
524.6118,5.3133,Back,894.9409409409409
524.612,0.0212,Back,894.9399399399399
524.6122,4.6046,Back,894.9389389389389
524.6124,0.0761,Back,894.9379379379379
524.6126,3.922,Back,894.936936936937
524.6128,0.0142,Back,894.935935935936
524.613,0.0107,Back,894.934934934935
524.6132,1.7051,Back,894.933933933934
524.6134,0.2857,Back,894.9329329329329
524.6136,0.0012,Back,894.9319319319319
524.6138,0.005,Back,894.9309309309309
524.614,0.0044,Back,894.9299299299299
524.6142,2.857,Back,894.9289289289289
524.6144,0.0012,Back,894.927927927928
524.6146,0.0091,Back,894.926926926927
524.6148,0.0161,Back,894.925925925926
524.615,2.1649,Back,894.9249249249249
524.6152,0.0098,Back,894.9239239239239
524.6154,1.9676,Back,894.9229229229229
524.6156,0.0592,Back,894.9219219219219
524.6158,3.581,Back,894.9209209209209
524.616,0.0585,Back,894.91991991992
524.6162,0.0219,Back,894.918918918919
524.6164,0.2354,Back,894.9179179179179
524.6166,0.0232,Back,894.9169169169169
524.6168,4.7607,Back,894.9159159159159
524.617,0.0563,Back,894.9149149149149
524.6172,0.042,Back,894.9139139139139
524.6174,0.0018,Back,894.9129129129129
524.6176,-0.0068,Back,894.911911911912
524.6178,-0.0027,Back,894.910910910911
524.618,0.0142,Back,894.9099099099099
524.6182,0.0206,Back,894.9089089089089
524.6184,0.0267,Back,894.9079079079079
524.6186,0.0053,Back,894.9069069069069
524.6188,0.0155,Back,894.9059059059059
524.619,3.7126,Back,894.9049049049049
524.6192,0.0318,Back,894.9039039039039
524.6194,0.0123,Back,894.902902902903
524.6196,0.0095,Back,894.9019019019019
524.6198,0.0053,Back,894.9009009009009
524.62,0.0053,Back,894.8998998998999
524.6202,0.0133,Back,894.8988988988989
524.6204,0.0247,Back,894.8978978978979
524.6206,0.0432,Back,894.8968968968969
524.6208,1.264,Back,894.8958958958959
524.621,0.0324,Back,894.894894894895
524.6212,0.9677,Back,894.8938938938938
524.6214,0.1079,Back,894.8928928928929
524.6216,1.9514,Back,894.8918918918919
524.6218,0.0018,Back,894.8908908908909
524.622,0.0028,Back,894.8898898898899
524.6222,0.0053,Back,894.8888888888889
524.6224,0.0047,Back,894.8878878878879
524.6226,0.0107,Back,894.8868868868869
524.6228,4.5236,Back,894.8858858858858
524.623,0.0037,Back,894.8848848848849
524.6232,0.012,Back,894.8838838838839
524.6234,2.3625,Back,894.8828828828829
524.6236,0.0056,Back,894.8818818818819
524.6238,0.0072,Back,894.8808808808809
524.624,0.0171,Back,894.8798798798799
524.6242,0.0066,Back,894.8788788788788
524.6244,0.0053,Back,894.8778778778778
524.6246,0.0082,Back,894.8768768768768
524.6248,1.1901,Back,894.8758758758759
524.625,0.0251,Back,894.8748748748749
524.6252,0.0171,Back,894.8738738738739
524.6254,-0.0007,Back,894.8728728728729
524.6256,2.8124,Back,894.8718718718719
524.6258,0.1213,Back,894.8708708708708
524.626,0.0509,Back,894.8698698698698
524.6262,0.0139,Back,894.8688688688688
524.6264,0.192,Back,894.8678678678679
524.6266,0.0021,Back,894.8668668668669
524.6268,0.0471,Back,894.8658658658659
524.627,0.0015,Back,894.8648648648649
524.6272,0.0082,Back,894.8638638638639
524.6274,0.2169,Back,894.8628628628628
524.6276,0.0308,Back,894.8618618618618
524.6278,0.0343,Back,894.8608608608608
524.628,0.1159,Back,894.8598598598599
524.6282,0.482,Back,894.8588588588589
524.6284,0.0059,Back,894.8578578578579
524.6286,1.5037,Back,894.8568568568569
524.6288,0.0187,Back,894.8558558558559
524.629,0.6149,Back,894.8548548548548
524.6292,0.0429,Back,894.8538538538538
524.6294,0.0263,Back,894.8528528528528
524.6296,0.0181,Back,894.8518518518518
524.6298,0.0541,Back,894.8508508508509
524.63,1.3909,Back,894.8498498498499
524.6302,0.0028,Back,894.8488488488489
524.6304,4.3299,Back,894.8478478478479
524.6306,0.0165,Back,894.8468468468468
524.6308,0.0015,Back,894.8458458458458
524.631,0.0098,Back,894.8448448448448
524.6312,0.0133,Back,894.8438438438438
524.6314,0.005,Back,894.8428428428429
524.6316,0.0136,Back,894.8418418418419
524.6318,0.005,Back,894.8408408408409
524.632,0.0066,Back,894.8398398398398
524.6322,0.1892,Back,894.8388388388388
524.6324,0.0324,Back,894.8378378378378
524.6326,0.0117,Back,894.8368368368368
524.6328,0.02,Back,894.8358358358358
524.633,0.0203,Back,894.8348348348349
524.6332,5.5787,Back,894.8338338338339
524.6334,5.71,Back,894.8328328328329
524.6336,4.9519,Back,894.8318318318318
524.6338,4.5887,Back,894.8308308308308
524.634,5.0208,Back,894.8298298298298
524.6342,4.7094,Back,894.8288288288288
524.6344,4.4523,Back,894.8278278278278
524.6346,4.7687,Back,894.8268268268268
524.6348,6.2498,Back,894.8258258258259
524.635,4.2541,Back,894.8248248248249
524.6352,6.2438,Back,894.8238238238238
524.6354,4.313,Back,894.8228228228228
524.6356,5.6896,Back,894.8218218218218
524.6358,4.3108,Back,894.8208208208208
524.636,4.2643,Back,894.8198198198198
524.6362,4.4255,Back,894.8188188188188
524.6364,6.0402,Back,894.8178178178179
524.6366,5.7218,Back,894.8168168168169
524.6368,6.3126,Back,894.8158158158158
524.637,6.3047,Back,894.8148148148148
524.6372,6.3544,Back,894.8138138138138
524.6374,6.2301,Back,894.8128128128128
524.6376,6.347,Back,894.8118118118118
524.6378,6.2336,Back,894.8108108108108
524.638,6.239,Back,894.8098098098098
524.6382,6.2741,Back,894.8088088088089
524.6384,6.1332,Back,894.8078078078078
524.6386,5.7572,Back,894.8068068068068
524.6388,5.6425,Back,894.8058058058058
524.639,4.8767,Back,894.8048048048048
524.6392,4.0826,Back,894.8038038038038
524.6394,5.9643,Back,894.8028028028028
524.6396,4.2827,Back,894.8018018018018
524.6398,5.3955,Back,894.8008008008009
524.64,2.7592,Back,894.7997997997998
524.6402,5.7725,Back,894.7987987987988
524.6404,6.6052,Back,894.7977977977978
524.6406,5.5765,Back,894.7967967967968
524.6408,0.9087,Back,894.7957957957958
524.641,2.7567,Back,894.7947947947948
