Time,V,Label,Depth
14.6,0.0002,Go,-4.0
14.6002,0.0028,Go,-3.998998998998999
14.6004,0.0034,Go,-3.997997997997998
14.6006,0.0031,Go,-3.996996996996997
14.6008,0.0021,Go,-3.995995995995996
14.601,0.0015,Go,-3.994994994994995
14.6012,0.0034,Go,-3.993993993993994
14.6014,0.0031,Go,-3.992992992992993
14.6016,0.0028,Go,-3.991991991991992
14.6018,0.0012,Go,-3.990990990990991
14.602,0.0008,Go,-3.98998998998999
14.6022,0.0002,Go,-3.988988988988989
14.6024,-0.0011,Go,-3.987987987987988
14.6026,-0.0004,Go,-3.986986986986987
14.6028,0.0002,Go,-3.985985985985986
14.603,0.0005,Go,-3.984984984984985
14.6032,0.0012,Go,-3.983983983983984
14.6034,0.0024,Go,-3.982982982982983
14.6036,0.0002,Go,-3.981981981981982
14.6038,0.0005,Go,-3.980980980980981
14.604,0.0005,Go,-3.97997997997998
14.6042,0.0031,Go,-3.978978978978979
14.6044,0.0008,Go,-3.977977977977978
14.6046,0.0012,Go,-3.976976976976977
14.6048,-0.0004,Go,-3.975975975975976
14.605,0.0002,Go,-3.974974974974975
14.6052,-0.0001,Go,-3.973973973973974
14.6054,-0.0007,Go,-3.972972972972973
14.6056,-0.0001,Go,-3.971971971971972
14.6058,0.0015,Go,-3.970970970970971
14.606,0.0005,Go,-3.96996996996997
14.6062,0.0002,Go,-3.968968968968969
14.6064,0.0002,Go,-3.967967967967968
14.6066,0.0008,Go,-3.966966966966967
14.6068,0.0005,Go,-3.965965965965966
14.607,0.0002,Go,-3.964964964964965
14.6072,0.0018,Go,-3.963963963963964
14.6074,0.0015,Go,-3.962962962962963
14.6076,0.0024,Go,-3.961961961961962
14.6078,-0.0004,Go,-3.960960960960961
14.608,-0.0007,Go,-3.95995995995996
14.6082,-0.0023,Go,-3.958958958958959
14.6084,-0.0001,Go,-3.957957957957958
14.6086,0.0002,Go,-3.956956956956957
14.6088,0.0005,Go,-3.955955955955956
14.609,0.0002,Go,-3.954954954954955
14.6092,0.0012,Go,-3.953953953953954
14.6094,0.0002,Go,-3.952952952952953
14.6096,-0.0014,Go,-3.951951951951952
14.6098,0.0002,Go,-3.950950950950951
14.61,-0.0007,Go,-3.94994994994995
14.6102,0.0002,Go,-3.948948948948949
14.6104,-0.0007,Go,-3.947947947947948
14.6106,0.0002,Go,-3.946946946946947
14.6108,-0.0023,Go,-3.945945945945946
14.611,0.0002,Go,-3.944944944944945
14.6112,-0.0004,Go,-3.943943943943944
14.6114,0.0012,Go,-3.942942942942943
14.6116,0.0015,Go,-3.941941941941942
14.6118,0.0002,Go,-3.940940940940941
14.612,-0.0007,Go,-3.93993993993994
14.6122,0.0024,Go,-3.938938938938939
14.6124,0.0008,Go,-3.937937937937938
14.6126,0.0015,Go,-3.936936936936937
14.6128,-0.0004,Go,-3.935935935935936
14.613,-0.0011,Go,-3.934934934934935
14.6132,-0.0011,Go,-3.933933933933934
14.6134,-0.0001,Go,-3.932932932932933
14.6136,0.0002,Go,-3.931931931931932
14.6138,-0.0001,Go,-3.930930930930931
14.614,-0.0017,Go,-3.92992992992993
14.6142,0.0005,Go,-3.928928928928929
14.6144,0.0021,Go,-3.9279279279279278
14.6146,0.0008,Go,-3.926926926926927
14.6148,-0.0001,Go,-3.925925925925926
14.615,0.0002,Go,-3.924924924924925
14.6152,-0.0004,Go,-3.923923923923924
14.6154,-0.0007,Go,-3.9229229229229228
14.6156,0.0015,Go,-3.921921921921922
14.6158,-0.0007,Go,-3.920920920920921
14.616,0.0002,Go,-3.91991991991992
14.6162,-0.0004,Go,-3.918918918918919
14.6164,-0.0004,Go,-3.9179179179179178
14.6166,0.0012,Go,-3.916916916916917
14.6168,-0.0001,Go,-3.915915915915916
14.617,-0.0014,Go,-3.914914914914915
14.6172,0.0005,Go,-3.913913913913914
14.6174,-0.0017,Go,-3.9129129129129128
14.6176,-0.0004,Go,-3.911911911911912
14.6178,-0.0004,Go,-3.910910910910911
14.618,-0.0004,Go,-3.90990990990991
14.6182,0.0005,Go,-3.908908908908909
14.6184,0.0002,Go,-3.9079079079079078
14.6186,-0.0004,Go,-3.906906906906907
14.6188,0.0008,Go,-3.905905905905906
14.619,-0.0004,Go,-3.904904904904905
14.6192,-0.0007,Go,-3.903903903903904
14.6194,0.0002,Go,-3.9029029029029028
14.6196,0.0002,Go,-3.901901901901902
14.6198,0.0002,Go,-3.900900900900901
14.62,0.0012,Go,-3.8998998998999
14.6202,0.0008,Go,-3.898898898898899
14.6204,0.0005,Go,-3.8978978978978978
14.6206,0.0002,Go,-3.896896896896897
14.6208,-0.0004,Go,-3.895895895895896
14.621,-0.0001,Go,-3.894894894894895
14.6212,0.0005,Go,-3.893893893893894
14.6214,0.0002,Go,-3.8928928928928928
14.6216,0.0012,Go,-3.891891891891892
14.6218,-0.0001,Go,-3.890890890890891
14.622,-0.0004,Go,-3.88988988988989
14.6222,-0.0017,Go,-3.888888888888889
14.6224,0.0005,Go,-3.8878878878878878
14.6226,-0.0001,Go,-3.886886886886887
14.6228,-0.0001,Go,-3.885885885885886
14.623,0.0002,Go,-3.884884884884885
14.6232,-0.0001,Go,-3.883883883883884
14.6234,-0.0017,Go,-3.8828828828828827
14.6236,-0.0011,Go,-3.881881881881882
14.6238,0.0002,Go,-3.880880880880881
14.624,-0.0027,Go,-3.87987987987988
14.6242,-0.0033,Go,-3.878878878878879
14.6244,-0.0039,Go,-3.8778778778778777
14.6246,-0.0027,Go,-3.876876876876877
14.6248,-0.0033,Go,-3.875875875875876
14.625,-0.0043,Go,-3.874874874874875
14.6252,-0.0065,Go,-3.873873873873874
14.6254,-0.0049,Go,-3.8728728728728727
14.6256,-0.0078,Go,-3.871871871871872
14.6258,-0.0078,Go,-3.870870870870871
14.626,-0.0062,Go,-3.86986986986987
14.6262,-0.0058,Go,-3.868868868868869
14.6264,-0.0065,Go,-3.8678678678678677
14.6266,-0.0071,Go,-3.866866866866867
14.6268,-0.0078,Go,-3.865865865865866
14.627,-0.0074,Go,-3.864864864864865
14.6272,-0.0062,Go,-3.863863863863864
14.6274,-0.0068,Go,-3.8628628628628627
14.6276,-0.0046,Go,-3.861861861861862
14.6278,-0.003,Go,-3.860860860860861
14.628,-0.0023,Go,-3.85985985985986
14.6282,-0.0007,Go,-3.858858858858859
14.6284,-0.0004,Go,-3.8578578578578577
14.6286,-0.002,Go,-3.856856856856857
14.6288,-0.0011,Go,-3.855855855855856
14.629,-0.0007,Go,-3.854854854854855
14.6292,-0.0014,Go,-3.853853853853854
14.6294,-0.0007,Go,-3.8528528528528527
14.6296,0.0008,Go,-3.851851851851852
14.6298,-0.0004,Go,-3.850850850850851
14.63,0.0002,Go,-3.84984984984985
14.6302,-0.002,Go,-3.848848848848849
14.6304,-0.0004,Go,-3.8478478478478477
14.6306,0.0018,Go,-3.846846846846847
14.6308,-0.0004,Go,-3.845845845845846
14.631,0.0002,Go,-3.844844844844845
14.6312,0.0015,Go,-3.843843843843844
14.6314,-0.0007,Go,-3.8428428428428427
14.6316,-0.0017,Go,-3.841841841841842
14.6318,-0.0004,Go,-3.840840840840841
14.632,0.0008,Go,-3.83983983983984
14.6322,-0.0004,Go,-3.838838838838839
14.6324,-0.0027,Go,-3.8378378378378377
14.6326,-0.0027,Go,-3.836836836836837
14.6328,-0.0049,Go,-3.835835835835836
14.633,-0.0062,Go,-3.834834834834835
14.6332,-0.009,Go,-3.833833833833834
14.6334,-0.0071,Go,-3.8328328328328327
14.6336,-0.0062,Go,-3.831831831831832
14.6338,-0.0062,Go,-3.830830830830831
14.634,-0.0062,Go,-3.82982982982983
14.6342,-0.003,Go,-3.828828828828829
14.6344,-0.0046,Go,-3.8278278278278277
14.6346,-0.003,Go,-3.8268268268268266
14.6348,-0.0033,Go,-3.825825825825826
14.635,-0.002,Go,-3.824824824824825
14.6352,-0.0023,Go,-3.823823823823824
14.6354,-0.002,Go,-3.8228228228228227
14.6356,0.0005,Go,-3.8218218218218216
14.6358,0.0002,Go,-3.820820820820821
14.636,0.0018,Go,-3.81981981981982
14.6362,-0.0004,Go,-3.818818818818819
14.6364,0.0018,Go,-3.8178178178178177
14.6366,0.0012,Go,-3.8168168168168166
14.6368,0.0015,Go,-3.815815815815816
14.637,0.0018,Go,-3.814814814814815
14.6372,0.0018,Go,-3.813813813813814
14.6374,0.0008,Go,-3.8128128128128127
14.6376,0.0015,Go,-3.8118118118118116
14.6378,0.0012,Go,-3.810810810810811
14.638,-0.0001,Go,-3.80980980980981
14.6382,0.004,Go,-3.808808808808809
14.6384,0.0002,Go,-3.8078078078078077
14.6386,0.0008,Go,-3.8068068068068066
14.6388,0.0008,Go,-3.805805805805806
14.639,-0.0004,Go,-3.804804804804805
14.6392,-0.0004,Go,-3.803803803803804
14.6394,0.0018,Go,-3.8028028028028027
14.6396,0.0015,Go,-3.8018018018018016
14.6398,0.0018,Go,-3.800800800800801
14.64,0.0021,Go,-3.7997997997998
14.6402,0.0028,Go,-3.798798798798799
14.6404,0.0012,Go,-3.7977977977977977
14.6406,0.0021,Go,-3.7967967967967966
14.6408,0.004,Go,-3.795795795795796
14.641,0.0047,Go,-3.794794794794795
14.6412,0.0056,Go,-3.793793793793794
14.6414,0.0075,Go,-3.7927927927927927
14.6416,0.0101,Go,-3.7917917917917916
14.6418,0.0101,Go,-3.790790790790791
14.642,0.011,Go,-3.78978978978979
14.6422,0.0123,Go,-3.7887887887887888
14.6424,0.0104,Go,-3.7877877877877877
14.6426,0.0149,Go,-3.7867867867867866
14.6428,0.0117,Go,-3.785785785785786
14.643,0.0123,Go,-3.784784784784785
14.6432,0.0101,Go,-3.7837837837837838
14.6434,0.0126,Go,-3.7827827827827827
14.6436,0.0098,Go,-3.7817817817817816
14.6438,0.005,Go,-3.780780780780781
14.644,0.0024,Go,-3.77977977977978
14.6442,0.0008,Go,-3.7787787787787788
14.6444,0.0002,Go,-3.7777777777777777
14.6446,0.0005,Go,-3.7767767767767766
14.6448,0.0002,Go,-3.775775775775776
14.645,-0.0001,Go,-3.774774774774775
14.6452,0.0012,Go,-3.7737737737737738
14.6454,0.0008,Go,-3.7727727727727727
14.6456,0.0015,Go,-3.7717717717717716
14.6458,0.0002,Go,-3.770770770770771
14.646,0.0008,Go,-3.76976976976977
14.6462,0.0005,Go,-3.7687687687687688
14.6464,0.0002,Go,-3.7677677677677677
14.6466,0.0008,Go,-3.7667667667667666
14.6468,0.0008,Go,-3.765765765765766
14.647,0.0002,Go,-3.764764764764765
14.6472,0.0012,Go,-3.7637637637637638
14.6474,0.0005,Go,-3.7627627627627627
14.6476,0.0002,Go,-3.7617617617617616
14.6478,-0.0004,Go,-3.760760760760761
14.648,-0.0004,Go,-3.75975975975976
14.6482,0.0018,Go,-3.7587587587587588
14.6484,-0.0004,Go,-3.7577577577577577
14.6486,-0.002,Go,-3.7567567567567566
14.6488,0.0002,Go,-3.755755755755756
14.649,0.0002,Go,-3.754754754754755
14.6492,0.0002,Go,-3.7537537537537538
14.6494,0.0012,Go,-3.7527527527527527
14.6496,0.004,Go,-3.7517517517517516
14.6498,0.0063,Go,-3.750750750750751
14.65,0.0072,Go,-3.74974974974975
14.6502,0.0063,Go,-3.7487487487487487
14.6504,0.0082,Go,-3.7477477477477477
14.6506,0.0047,Go,-3.7467467467467466
14.6508,0.0063,Go,-3.745745745745746
14.651,0.0053,Go,-3.744744744744745
14.6512,0.0044,Go,-3.7437437437437437
14.6514,0.0037,Go,-3.7427427427427427
14.6516,0.0028,Go,-3.7417417417417416
14.6518,0.0024,Go,-3.740740740740741
14.652,-0.0014,Go,-3.73973973973974
14.6522,0.0002,Go,-3.7387387387387387
14.6524,-0.0007,Go,-3.7377377377377377
14.6526,-0.0007,Go,-3.7367367367367366
14.6528,0.0002,Go,-3.735735735735736
14.653,-0.0011,Go,-3.734734734734735
14.6532,0.0002,Go,-3.7337337337337337
14.6534,-0.0004,Go,-3.7327327327327327
14.6536,-0.0004,Go,-3.7317317317317316
14.6538,-0.0004,Go,-3.730730730730731
14.654,-0.0007,Go,-3.72972972972973
14.6542,-0.0023,Go,-3.7287287287287287
14.6544,-0.0007,Go,-3.7277277277277276
14.6546,-0.0007,Go,-3.7267267267267266
14.6548,0.0005,Go,-3.725725725725726
14.655,0.0012,Go,-3.724724724724725
14.6552,0.0005,Go,-3.7237237237237237
