Time,V,Label,Depth
165.4,0.0875,위치조정중,378.0
165.4002,0.0439,위치조정중,377.996996996997
165.4004,0.2064,위치조정중,377.99399399399397
165.4006,0.0136,위치조정중,377.990990990991
165.4008,0.0257,위치조정중,377.987987987988
165.401,0.0273,위치조정중,377.984984984985
165.4012,0.0318,위치조정중,377.98198198198196
165.4014,0.0289,위치조정중,377.978978978979
165.4016,0.0289,위치조정중,377.975975975976
165.4018,0.0286,위치조정중,377.97297297297297
165.402,0.0502,위치조정중,377.96996996996995
165.4022,0.0305,위치조정중,377.966966966967
165.4024,0.0359,위치조정중,377.963963963964
165.4026,0.0343,위치조정중,377.96096096096096
165.4028,0.0662,위치조정중,377.95795795795794
165.403,0.0305,위치조정중,377.9549549549549
165.4032,0.1391,위치조정중,377.95195195195197
165.4034,0.0072,위치조정중,377.94894894894895
165.4036,0.0161,위치조정중,377.94594594594594
165.4038,0.0251,위치조정중,377.9429429429429
165.404,0.055,위치조정중,377.93993993993996
165.4042,0.0343,위치조정중,377.93693693693695
165.4044,0.0365,위치조정중,377.93393393393393
165.4046,0.0241,위치조정중,377.9309309309309
165.4048,0.0474,위치조정중,377.92792792792795
165.405,0.0295,위치조정중,377.92492492492494
165.4052,0.0824,위치조정중,377.9219219219219
165.4054,0.0075,위치조정중,377.9189189189189
165.4056,0.0267,위치조정중,377.9159159159159
165.4058,0.0541,위치조정중,377.91291291291293
165.406,0.0244,위치조정중,377.9099099099099
165.4062,0.0145,위치조정중,377.9069069069069
165.4064,0.0569,위치조정중,377.9039039039039
165.4066,0.0314,위치조정중,377.9009009009009
165.4068,0.019,위치조정중,377.8978978978979
165.407,1.9826,위치조정중,377.8948948948949
165.4072,0.0384,위치조정중,377.8918918918919
165.4074,0.0413,위치조정중,377.8888888888889
165.4076,0.0499,위치조정중,377.8858858858859
165.4078,0.0133,위치조정중,377.8828828828829
165.408,0.0104,위치조정중,377.87987987987987
165.4082,0.0228,위치조정중,377.87687687687685
165.4084,0.0435,위치조정중,377.8738738738739
165.4086,3.8028,위치조정중,377.8708708708709
165.4088,0.0079,위치조정중,377.86786786786786
165.409,3.7416,위치조정중,377.86486486486484
165.4092,0.0155,위치조정중,377.8618618618619
165.4094,0.0091,위치조정중,377.85885885885887
165.4096,0.0114,위치조정중,377.85585585585585
165.4098,0.0145,위치조정중,377.85285285285283
165.41,0.0203,위치조정중,377.8498498498499
165.4102,0.013,위치조정중,377.84684684684686
165.4104,0.0104,위치조정중,377.84384384384384
165.4106,0.0066,위치조정중,377.8408408408408
165.4108,0.0133,위치조정중,377.8378378378378
165.411,0.0161,위치조정중,377.83483483483485
165.4112,0.02,위치조정중,377.83183183183183
165.4114,0.0193,위치조정중,377.8288288288288
165.4116,0.0101,위치조정중,377.8258258258258
165.4118,0.0002,위치조정중,377.82282282282284
165.412,0.012,위치조정중,377.8198198198198
165.4122,0.0477,위치조정중,377.8168168168168
165.4124,0.0095,위치조정중,377.8138138138138
165.4126,0.011,위치조정중,377.81081081081084
165.4128,0.026,위치조정중,377.8078078078078
165.413,0.0216,위치조정중,377.8048048048048
165.4132,5.3474,위치조정중,377.8018018018018
165.4134,0.0117,위치조정중,377.79879879879877
165.4136,0.0104,위치조정중,377.7957957957958
165.4138,0.0174,위치조정중,377.7927927927928
165.414,0.0232,위치조정중,377.7897897897898
165.4142,0.0346,위치조정중,377.78678678678676
165.4144,0.0311,위치조정중,377.7837837837838
165.4146,0.0448,위치조정중,377.7807807807808
165.4148,0.2134,위치조정중,377.77777777777777
165.415,2.8248,위치조정중,377.77477477477476
165.4152,0.0059,위치조정중,377.7717717717718
165.4154,0.0216,위치조정중,377.7687687687688
165.4156,0.033,위치조정중,377.76576576576576
165.4158,0.0381,위치조정중,377.76276276276275
165.416,0.0722,위치조정중,377.75975975975973
165.4162,0.048,위치조정중,377.7567567567568
165.4164,0.0161,위치조정중,377.75375375375376
165.4166,0.0085,위치조정중,377.75075075075074
165.4168,0.0181,위치조정중,377.7477477477477
165.417,0.0095,위치조정중,377.74474474474476
165.4172,0.0126,위치조정중,377.74174174174175
165.4174,0.0263,위치조정중,377.73873873873873
165.4176,0.0499,위치조정중,377.7357357357357
165.4178,0.0502,위치조정중,377.73273273273276
165.418,0.0117,위치조정중,377.72972972972974
165.4182,0.0308,위치조정중,377.7267267267267
165.4184,0.0136,위치조정중,377.7237237237237
165.4186,0.0206,위치조정중,377.72072072072075
165.4188,0.0601,위치조정중,377.71771771771773
165.419,0.071,위치조정중,377.7147147147147
165.4192,0.8561,위치조정중,377.7117117117117
165.4194,0.0085,위치조정중,377.7087087087087
165.4196,0.005,위치조정중,377.7057057057057
165.4198,0.0075,위치조정중,377.7027027027027
165.42,0.0136,위치조정중,377.6996996996997
165.4202,1.5069,위치조정중,377.6966966966967
165.4204,0.0139,위치조정중,377.6936936936937
165.4206,0.0528,위치조정중,377.6906906906907
165.4208,0.9964,위치조정중,377.6876876876877
165.421,0.6324,위치조정중,377.68468468468467
165.4212,0.026,위치조정중,377.6816816816817
165.4214,0.0216,위치조정중,377.6786786786787
165.4216,0.048,위치조정중,377.6756756756757
165.4218,0.0483,위치조정중,377.67267267267266
165.422,0.0232,위치조정중,377.66966966966964
165.4222,0.0359,위치조정중,377.6666666666667
165.4224,0.0397,위치조정중,377.66366366366367
165.4226,0.0196,위치조정중,377.66066066066065
165.4228,0.0311,위치조정중,377.65765765765764
165.423,0.0295,위치조정중,377.6546546546547
165.4232,0.0295,위치조정중,377.65165165165166
165.4234,0.0659,위치조정중,377.64864864864865
165.4236,0.0537,위치조정중,377.64564564564563
165.4238,0.0155,위치조정중,377.64264264264267
165.424,0.0174,위치조정중,377.63963963963965
165.4242,0.0286,위치조정중,377.63663663663664
165.4244,0.0206,위치조정중,377.6336336336336
165.4246,0.0053,위치조정중,377.6306306306306
165.4248,0.0091,위치조정중,377.62762762762765
165.425,0.0056,위치조정중,377.62462462462463
165.4252,0.0066,위치조정중,377.6216216216216
165.4254,0.0107,위치조정중,377.6186186186186
165.4256,0.0212,위치조정중,377.61561561561564
165.4258,0.0486,위치조정중,377.6126126126126
165.426,0.0206,위치조정중,377.6096096096096
165.4262,0.0244,위치조정중,377.6066066066066
165.4264,0.0273,위치조정중,377.60360360360363
165.4266,0.0499,위치조정중,377.6006006006006
165.4268,0.1427,위치조정중,377.5975975975976
165.427,0.0799,위치조정중,377.5945945945946
165.4272,0.0219,위치조정중,377.59159159159157
165.4274,0.0292,위치조정중,377.5885885885886
165.4276,5.1106,위치조정중,377.5855855855856
165.4278,0.0286,위치조정중,377.5825825825826
165.428,0.0397,위치조정중,377.57957957957956
165.4282,0.0391,위치조정중,377.5765765765766
165.4284,1.6487,위치조정중,377.5735735735736
165.4286,0.0397,위치조정중,377.57057057057057
165.4288,0.0477,위치조정중,377.56756756756755
165.429,0.0381,위치조정중,377.5645645645646
165.4292,0.0155,위치조정중,377.5615615615616
165.4294,0.019,위치조정중,377.55855855855856
165.4296,0.0901,위치조정중,377.55555555555554
165.4298,0.0066,위치조정중,377.5525525525525
165.43,0.0059,위치조정중,377.54954954954957
165.4302,0.0244,위치조정중,377.54654654654655
165.4304,0.0413,위치조정중,377.54354354354354
165.4306,0.0126,위치조정중,377.5405405405405
165.4308,0.0241,위치조정중,377.53753753753756
165.431,0.0232,위치조정중,377.53453453453454
165.4312,0.0149,위치조정중,377.5315315315315
165.4314,0.0187,위치조정중,377.5285285285285
165.4316,0.0155,위치조정중,377.52552552552555
165.4318,0.0133,위치조정중,377.52252252252254
165.432,0.0168,위치조정중,377.5195195195195
165.4322,0.0075,위치조정중,377.5165165165165
165.4324,0.0171,위치조정중,377.5135135135135
165.4326,0.0142,위치조정중,377.5105105105105
165.4328,0.0142,위치조정중,377.5075075075075
165.433,0.0745,위치조정중,377.5045045045045
165.4332,0.0824,위치조정중,377.5015015015015
165.4334,0.0069,위치조정중,377.4984984984985
165.4336,0.0104,위치조정중,377.4954954954955
165.4338,0.0152,위치조정중,377.4924924924925
165.434,0.0066,위치조정중,377.4894894894895
165.4342,0.0066,위치조정중,377.4864864864865
165.4344,0.0225,위치조정중,377.4834834834835
165.4346,0.0247,위치조정중,377.4804804804805
165.4348,0.0359,위치조정중,377.47747747747746
165.435,0.0161,위치조정중,377.47447447447445
165.4352,0.026,위치조정중,377.4714714714715
165.4354,0.0031,위치조정중,377.4684684684685
165.4356,0.012,위치조정중,377.46546546546546
165.4358,0.0133,위치조정중,377.46246246246244
165.436,0.0416,위치조정중,377.4594594594595
165.4362,0.1608,위치조정중,377.45645645645646
165.4364,0.0257,위치조정중,377.45345345345345
