Time,V,Label,Depth
316.4,0.0263,Hold,648.0
316.4002,0.0375,Hold,648.0
316.4004,0.0302,Hold,648.0
316.4006,0.0321,Hold,648.0
316.4008,0.0547,Hold,648.0
316.401,0.1041,Hold,648.0
316.4012,0.063,Hold,648.0
316.4014,0.0639,Hold,648.0
316.4016,0.0754,Hold,648.0
316.4018,0.0429,Hold,648.0
316.402,0.0757,Hold,648.0
316.4022,0.0372,Hold,648.0
316.4024,0.0346,Hold,648.0
316.4026,0.027,Hold,648.0
316.4028,0.04,Hold,648.0
316.403,0.042,Hold,648.0
316.4032,0.0324,Hold,648.0
316.4034,4.7461,Hold,648.0
316.4036,0.265,Hold,648.0
316.4038,0.0608,Hold,648.0
316.404,0.0745,Hold,648.0
316.4042,0.134,Hold,648.0
316.4044,0.0754,Hold,648.0
316.4046,4.48,Hold,648.0
316.4048,0.1787,Hold,648.0
316.405,0.0394,Hold,648.0
316.4052,0.0639,Hold,648.0
316.4054,0.0158,Hold,648.0
316.4056,0.0276,Hold,648.0
316.4058,0.0302,Hold,648.0
316.406,0.019,Hold,648.0
316.4062,0.0413,Hold,648.0
316.4064,0.0235,Hold,648.0
316.4066,0.0732,Hold,648.0
316.4068,0.1328,Hold,648.0
316.407,0.0697,Hold,648.0
316.4072,0.0751,Hold,648.0
316.4074,0.0646,Hold,648.0
316.4076,0.0528,Hold,648.0
316.4078,0.0869,Hold,648.0
316.408,4.0402,Hold,648.0
316.4082,0.1274,Hold,648.0
316.4084,0.1143,Hold,648.0
316.4086,0.1229,Hold,648.0
316.4088,0.07,Hold,648.0
316.409,1.4699,Hold,648.0
316.4092,0.1242,Hold,648.0
316.4094,0.0706,Hold,648.0
316.4096,0.0636,Hold,648.0
316.4098,0.2131,Hold,648.0
316.41,0.0563,Hold,648.0
316.4102,0.098,Hold,648.0
316.4104,0.0811,Hold,648.0
316.4106,0.2978,Hold,648.0
316.4108,0.0585,Hold,648.0
316.411,0.0458,Hold,648.0
316.4112,0.063,Hold,648.0
316.4114,0.0576,Hold,648.0
316.4116,0.0741,Hold,648.0
316.4118,0.0939,Hold,648.0
316.412,1.5084,Hold,648.0
316.4122,0.4983,Hold,648.0
316.4124,0.0136,Hold,648.0
316.4126,0.0353,Hold,648.0
316.4128,0.0464,Hold,648.0
316.413,0.8555,Hold,648.0
316.4132,0.0394,Hold,648.0
316.4134,0.0471,Hold,648.0
316.4136,0.1321,Hold,648.0
316.4138,0.0878,Hold,648.0
316.414,0.0757,Hold,648.0
316.4142,0.092,Hold,648.0
316.4144,2.3985,Hold,648.0
316.4146,0.0767,Hold,648.0
316.4148,0.3622,Hold,648.0
316.415,0.0627,Hold,648.0
316.4152,0.0451,Hold,648.0
316.4154,0.0547,Hold,648.0
316.4156,0.063,Hold,648.0
316.4158,0.0493,Hold,648.0
316.416,0.3147,Hold,648.0
316.4162,0.0783,Hold,648.0
316.4164,0.0506,Hold,648.0
316.4166,0.2284,Hold,648.0
316.4168,0.0493,Hold,648.0
316.417,0.0219,Hold,648.0
316.4172,0.2367,Hold,648.0
316.4174,0.0639,Hold,648.0
316.4176,0.1411,Hold,648.0
316.4178,0.0333,Hold,648.0
316.418,0.0193,Hold,648.0
316.4182,0.0308,Hold,648.0
316.4184,0.04,Hold,648.0
316.4186,0.0878,Hold,648.0
316.4188,0.2829,Hold,648.0
316.419,0.0754,Hold,648.0
316.4192,0.0859,Hold,648.0
316.4194,0.0585,Hold,648.0
316.4196,0.0576,Hold,648.0
316.4198,0.048,Hold,648.0
316.42,0.0729,Hold,648.0
316.4202,0.084,Hold,648.0
316.4204,0.0553,Hold,648.0
316.4206,0.0362,Hold,648.0
316.4208,0.0716,Hold,648.0
316.421,0.0267,Hold,648.0
316.4212,0.0365,Hold,648.0
316.4214,0.1624,Hold,648.0
316.4216,0.1726,Hold,648.0
316.4218,0.4537,Hold,648.0
316.422,0.041,Hold,648.0
316.4222,0.055,Hold,648.0
316.4224,0.0276,Hold,648.0
316.4226,0.0961,Hold,648.0
316.4228,0.0585,Hold,648.0
316.423,0.3061,Hold,648.0
316.4232,0.0384,Hold,648.0
316.4234,0.0439,Hold,648.0
316.4236,0.0636,Hold,648.0
316.4238,0.0232,Hold,648.0
316.424,0.048,Hold,648.0
316.4242,0.0365,Hold,648.0
316.4244,0.2258,Hold,648.0
316.4246,0.0531,Hold,648.0
316.4248,0.0913,Hold,648.0
316.425,0.0442,Hold,648.0
316.4252,0.0426,Hold,648.0
316.4254,0.1717,Hold,648.0
316.4256,0.0792,Hold,648.0
316.4258,0.2064,Hold,648.0
316.426,0.0327,Hold,648.0
316.4262,0.027,Hold,648.0
316.4264,0.0608,Hold,648.0
316.4266,0.0372,Hold,648.0
316.4268,0.0792,Hold,648.0
316.427,0.1086,Hold,648.0
316.4272,0.0678,Hold,648.0
316.4274,0.0811,Hold,648.0
316.4276,1.9208,Hold,648.0
316.4278,5.6874,Hold,648.0
316.428,0.0818,Hold,648.0
316.4282,0.0633,Hold,648.0
316.4284,0.1347,Hold,648.0
316.4286,0.04,Hold,648.0
316.4288,1.641,Hold,648.0
316.429,3.2468,Hold,648.0
