Time,V,Label,Depth
7.6,0.0,-,-10.0
7.6002,0.0,-,-10.0
7.6004,0.0,-,-10.0
7.6006,0.0,-,-10.0
7.6008,0.0,-,-10.0
7.601,0.0,-,-10.0
7.6012,0.0,-,-10.0
7.6014,0.0,-,-10.0
7.6016,0.0,-,-10.0
7.6018,0.0,-,-10.0
7.602,0.0,-,-10.0
7.6022,0.0,-,-10.0
7.6024,0.0,-,-10.0
7.6026,0.0,-,-10.0
7.6028,0.0,-,-10.0
7.603,0.0,-,-10.0
7.6032,0.0,-,-10.0
7.6034,0.0,-,-10.0
7.6036,0.0,-,-10.0
7.6038,0.0,-,-10.0
7.604,0.0,-,-10.0
7.6042,0.0,-,-10.0
7.6044,0.0,-,-10.0
7.6046,0.0,-,-10.0
7.6048,0.0,-,-10.0
7.605,0.0,-,-10.0
7.6052,0.0,-,-10.0
7.6054,0.0,-,-10.0
7.6056,0.0,-,-10.0
7.6058,0.0,-,-10.0
7.606,0.0,-,-10.0
7.6062,0.0,-,-10.0
7.6064,0.0,-,-10.0
7.6066,0.0,-,-10.0
7.6068,0.0,-,-10.0
7.607,0.0,-,-10.0
7.6072,0.0,-,-10.0
7.6074,0.0,-,-10.0
7.6076,0.0,-,-10.0
7.6078,0.0,-,-10.0
7.608,0.0,-,-10.0
7.6082,0.0,-,-10.0
7.6084,0.0,-,-10.0
7.6086,0.0,-,-10.0
7.6088,0.0,-,-10.0
7.609,0.0,-,-10.0
7.6092,0.0,-,-10.0
7.6094,0.0,-,-10.0
7.6096,0.0,-,-10.0
7.6098,0.0,-,-10.0
7.61,0.0,-,-10.0
7.6102,0.0,-,-10.0
7.6104,0.0,-,-10.0
7.6106,0.0,-,-10.0
7.6108,0.0,-,-10.0
7.611,0.0,-,-10.0
7.6112,0.0,-,-10.0
7.6114,0.0,-,-10.0
7.6116,0.0,-,-10.0
7.6118,0.0,-,-10.0
7.612,0.0,-,-10.0
7.6122,0.0,-,-10.0
7.6124,0.0,-,-10.0
7.6126,0.0,-,-10.0
7.6128,0.0,-,-10.0
7.613,0.0,-,-10.0
7.6132,0.0,-,-10.0
7.6134,0.0,-,-10.0
7.6136,0.0,-,-10.0
7.6138,0.0,-,-10.0
7.614,0.0,-,-10.0
7.6142,0.0,-,-10.0
7.6144,0.0,-,-10.0
7.6146,0.0,-,-10.0
7.6148,0.0,-,-10.0
7.615,0.0,-,-10.0
7.6152,0.0,-,-10.0
7.6154,0.0,-,-10.0
7.6156,0.0,-,-10.0
7.6158,0.0,-,-10.0
7.616,0.0,-,-10.0
7.6162,0.0,-,-10.0
7.6164,0.0,-,-10.0
7.6166,0.0,-,-10.0
7.6168,0.0,-,-10.0
7.617,0.0,-,-10.0
7.6172,0.0,-,-10.0
7.6174,0.0,-,-10.0
7.6176,0.0,-,-10.0
7.6178,0.0,-,-10.0
7.618,0.0,-,-10.0
7.6182,0.0,-,-10.0
7.6184,0.0,-,-10.0
7.6186,0.0,-,-10.0
7.6188,0.0,-,-10.0
7.619,0.0,-,-10.0
7.6192,0.0,-,-10.0
7.6194,0.0,-,-10.0
7.6196,0.0,-,-10.0
7.6198,0.0,-,-10.0
7.62,0.0,-,-10.0
7.6202,0.0,-,-10.0
7.6204,0.0,-,-10.0
7.6206,0.0,-,-10.0
7.6208,0.0,-,-10.0
7.621,0.0,-,-10.0
7.6212,0.0,-,-10.0
7.6214,0.0,-,-10.0
7.6216,0.0,-,-10.0
7.6218,0.0,-,-10.0
7.622,0.0,-,-10.0
7.6222,0.0,-,-10.0
7.6224,0.0,-,-10.0
7.6226,0.0,-,-10.0
7.6228,0.0,-,-10.0
7.623,0.0,-,-10.0
7.6232,0.0,-,-10.0
7.6234,0.0,-,-10.0
7.6236,0.0,-,-10.0
7.6238,0.0,-,-10.0
7.624,0.0,-,-10.0
7.6242,0.0,-,-10.0
7.6244,0.0,-,-10.0
7.6246,0.0,-,-10.0
7.6248,0.0,-,-10.0
7.625,0.0,-,-10.0
7.6252,0.0,-,-10.0
7.6254,0.0,-,-10.0
7.6256,0.0,-,-10.0
7.6258,0.0,-,-10.0
7.626,0.0,-,-10.0
7.6262,0.0,-,-10.0
7.6264,0.0,-,-10.0
7.6266,0.0,-,-10.0
7.6268,0.0,-,-10.0
7.627,0.0,-,-10.0
7.6272,0.0,-,-10.0
7.6274,0.0,-,-10.0
7.6276,0.0,-,-10.0
7.6278,0.0,-,-10.0
7.628,0.0,-,-10.0
7.6282,0.0,-,-10.0
7.6284,0.0,-,-10.0
7.6286,0.0,-,-10.0
7.6288,0.0,-,-10.0
7.629,0.0,-,-10.0
7.6292,0.0,-,-10.0
7.6294,0.0,-,-10.0
7.6296,0.0,-,-10.0
7.6298,0.0,-,-10.0
7.63,0.0,-,-10.0
7.6302,0.0,-,-10.0
7.6304,0.0,-,-10.0
7.6306,0.0,-,-10.0
7.6308,0.0,-,-10.0
7.631,0.0,-,-10.0
7.6312,0.0,-,-10.0
7.6314,0.0,-,-10.0
7.6316,0.0,-,-10.0
7.6318,0.0,-,-10.0
7.632,0.0,-,-10.0
7.6322,0.0,-,-10.0
7.6324,0.0,-,-10.0
7.6326,0.0,-,-10.0
7.6328,0.0,-,-10.0
7.633,0.0,-,-10.0
7.6332,0.0,-,-10.0
7.6334,0.0,-,-10.0
7.6336,0.0,-,-10.0
7.6338,0.0,-,-10.0
7.634,0.0,-,-10.0
7.6342,0.0,-,-10.0
7.6344,0.0,-,-10.0
7.6346,0.0,-,-10.0
7.6348,0.0,-,-10.0
7.635,0.0,-,-10.0
7.6352,0.0,-,-10.0
7.6354,0.0,-,-10.0
7.6356,0.0,-,-10.0
7.6358,0.0,-,-10.0
7.636,0.0,-,-10.0
7.6362,0.0,-,-10.0
7.6364,0.0,-,-10.0
7.6366,0.0,-,-10.0
7.6368,0.0,-,-10.0
7.637,0.0,-,-10.0
7.6372,0.0,-,-10.0
7.6374,0.0,-,-10.0
7.6376,0.0,-,-10.0
7.6378,0.0,-,-10.0
7.638,0.0,-,-10.0
7.6382,0.0,-,-10.0
7.6384,0.0,-,-10.0
7.6386,0.0,-,-10.0
7.6388,0.0,-,-10.0
7.639,0.0,-,-10.0
7.6392,0.0,-,-10.0
7.6394,0.0,-,-10.0
7.6396,0.0,-,-10.0
7.6398,0.0,-,-10.0
7.64,0.0,-,-10.0
7.6402,0.0,-,-10.0
7.6404,0.0,-,-10.0
7.6406,0.0,-,-10.0
7.6408,0.0,-,-10.0
7.641,0.0,-,-10.0
7.6412,0.0,-,-10.0
7.6414,0.0,-,-10.0
7.6416,0.0,-,-10.0
7.6418,0.0,-,-10.0
7.642,0.0,-,-10.0
7.6422,0.0,-,-10.0
7.6424,0.0,-,-10.0
7.6426,0.0,-,-10.0
7.6428,0.0,-,-10.0
7.643,0.0,-,-10.0
7.6432,0.0,-,-10.0
7.6434,0.0,-,-10.0
7.6436,0.0,-,-10.0
7.6438,0.0,-,-10.0
7.644,0.0,-,-10.0
7.6442,0.0,-,-10.0
7.6444,0.0,-,-10.0
7.6446,0.0,-,-10.0
7.6448,0.0,-,-10.0
7.645,0.0,-,-10.0
7.6452,0.0,-,-10.0
7.6454,0.0,-,-10.0
7.6456,0.0,-,-10.0
7.6458,0.0,-,-10.0
7.646,0.0,-,-10.0
7.6462,0.0,-,-10.0
7.6464,0.0,-,-10.0
7.6466,0.0,-,-10.0
7.6468,0.0,-,-10.0
7.647,0.0,-,-10.0
7.6472,0.0,-,-10.0
7.6474,0.0,-,-10.0
7.6476,0.0,-,-10.0
7.6478,0.0,-,-10.0
7.648,0.0,-,-10.0
7.6482,0.0,-,-10.0
7.6484,0.0,-,-10.0
7.6486,0.0,-,-10.0
7.6488,0.0,-,-10.0
7.649,0.0,-,-10.0
7.6492,0.0,-,-10.0
7.6494,0.0,-,-10.0
7.6496,0.0,-,-10.0
7.6498,0.0,-,-10.0
7.65,0.0,-,-10.0
7.6502,0.0,-,-10.0
7.6504,0.0,-,-10.0
7.6506,0.0,-,-10.0
7.6508,0.0,-,-10.0
7.651,0.0,-,-10.0
7.6512,0.0,-,-10.0
7.6514,0.0,-,-10.0
7.6516,0.0,-,-10.0
7.6518,0.0,-,-10.0
7.652,0.0,-,-10.0
7.6522,0.0,-,-10.0
7.6524,0.0,-,-10.0
7.6526,0.0,-,-10.0
7.6528,0.0,-,-10.0
7.653,0.0,-,-10.0
7.6532,0.0,-,-10.0
7.6534,0.0,-,-10.0
7.6536,0.0,-,-10.0
7.6538,0.0,-,-10.0
7.654,0.0,-,-10.0
7.6542,0.0,-,-10.0
7.6544,0.0,-,-10.0
7.6546,0.0,-,-10.0
7.6548,0.0,-,-10.0
7.655,0.0,-,-10.0
7.6552,0.0,-,-10.0
7.6554,0.0,-,-10.0
7.6556,0.0,-,-10.0
7.6558,0.0,-,-10.0
7.656,0.0,-,-10.0
7.6562,0.0,-,-10.0
7.6564,0.0,-,-10.0
7.6566,0.0,-,-10.0
7.6568,0.0,-,-10.0
7.657,0.0,-,-10.0
7.6572,0.0,-,-10.0
7.6574,0.0,-,-10.0
7.6576,0.0,-,-10.0
7.6578,0.0,-,-10.0
7.658,0.0,-,-10.0
7.6582,0.0,-,-10.0
7.6584,0.0,-,-10.0
7.6586,0.0,-,-10.0
7.6588,0.0,-,-10.0
7.659,0.0,-,-10.0
7.6592,0.0,-,-10.0
7.6594,0.0,-,-10.0
7.6596,0.0,-,-10.0
7.6598,0.0,-,-10.0
7.66,0.0,-,-10.0
