Time,V,Label,Depth
47.2,-0.0001,Hold,84.0
47.2002,-0.0004,Hold,84.0
47.2004,-0.0017,Hold,84.0
47.2006,0.004,Hold,84.0
47.2008,0.0142,Hold,84.0
47.201,0.0158,Hold,84.0
47.2012,0.0005,Hold,84.0
47.2014,0.0075,Hold,84.0
47.2016,0.0069,Hold,84.0
47.2018,0.0005,Hold,84.0
47.202,0.0037,Hold,84.0
47.2022,0.0066,Hold,84.0
47.2024,0.0069,Hold,84.0
47.2026,0.0044,Hold,84.0
47.2028,0.0034,Hold,84.0
47.203,-0.0011,Hold,84.0
47.2032,-0.0001,Hold,84.0
47.2034,0.0015,Hold,84.0
47.2036,0.0021,Hold,84.0
47.2038,-0.0001,Hold,84.0
47.204,0.0008,Hold,84.0
47.2042,-0.0033,Hold,84.0
47.2044,-0.0036,Hold,84.0
47.2046,-0.0081,Hold,84.0
47.2048,-0.0078,Hold,84.0
47.205,-0.0084,Hold,84.0
47.2052,-0.0084,Hold,84.0
47.2054,-0.0094,Hold,84.0
47.2056,-0.0084,Hold,84.0
47.2058,-0.0078,Hold,84.0
47.206,-0.0049,Hold,84.0
47.2062,-0.0039,Hold,84.0
47.2064,-0.009,Hold,84.0
47.2066,-0.0062,Hold,84.0
47.2068,-0.0043,Hold,84.0
47.207,-0.0023,Hold,84.0
47.2072,0.0005,Hold,84.0
47.2074,3.1668,Hold,84.0
47.2076,0.0005,Hold,84.0
47.2078,0.0018,Hold,84.0
47.208,0.0012,Hold,84.0
47.2082,0.0031,Hold,84.0
47.2084,-0.0004,Hold,84.0
47.2086,0.0002,Hold,84.0
47.2088,0.0015,Hold,84.0
47.209,0.0028,Hold,84.0
47.2092,0.0021,Hold,84.0
47.2094,0.0012,Hold,84.0
47.2096,0.0021,Hold,84.0
47.2098,0.0024,Hold,84.0
47.21,0.0008,Hold,84.0
47.2102,0.0008,Hold,84.0
47.2104,0.0021,Hold,84.0
47.2106,0.0031,Hold,84.0
47.2108,0.0012,Hold,84.0
47.211,0.0005,Hold,84.0
47.2112,0.0012,Hold,84.0
47.2114,0.0015,Hold,84.0
47.2116,0.0015,Hold,84.0
47.2118,0.0044,Hold,84.0
47.212,0.0024,Hold,84.0
47.2122,0.005,Hold,84.0
47.2124,0.004,Hold,84.0
47.2126,0.0091,Hold,84.0
47.2128,0.0107,Hold,84.0
47.213,0.0072,Hold,84.0
47.2132,0.0104,Hold,84.0
47.2134,0.013,Hold,84.0
47.2136,0.012,Hold,84.0
47.2138,0.0126,Hold,84.0
47.214,0.0123,Hold,84.0
47.2142,0.013,Hold,84.0
47.2144,0.0161,Hold,84.0
47.2146,0.0165,Hold,84.0
47.2148,0.0133,Hold,84.0
47.215,0.0142,Hold,84.0
47.2152,0.0149,Hold,84.0
47.2154,0.012,Hold,84.0
47.2156,0.0079,Hold,84.0
47.2158,0.0059,Hold,84.0
47.216,0.004,Hold,84.0
47.2162,0.0044,Hold,84.0
47.2164,0.0044,Hold,84.0
47.2166,0.004,Hold,84.0
47.2168,0.0047,Hold,84.0
47.217,0.0031,Hold,84.0
47.2172,0.0018,Hold,84.0
47.2174,-0.0011,Hold,84.0
47.2176,0.0012,Hold,84.0
47.2178,0.0028,Hold,84.0
47.218,0.0031,Hold,84.0
47.2182,0.0056,Hold,84.0
47.2184,0.005,Hold,84.0
47.2186,0.0031,Hold,84.0
