Time,V,Label,Depth
20.4,-0.0007,Go,-4.0
20.4002,0.0012,Go,-3.998998998998999
20.4004,0.0018,Go,-3.997997997997998
20.4006,0.0015,Go,-3.996996996996997
20.4008,0.0002,Go,-3.995995995995996
20.401,-0.0001,Go,-3.994994994994995
20.4012,0.0002,Go,-3.993993993993994
20.4014,0.0002,Go,-3.992992992992993
20.4016,-0.0004,Go,-3.991991991991992
20.4018,0.0008,Go,-3.990990990990991
20.402,0.0002,Go,-3.98998998998999
20.4022,-0.0004,Go,-3.988988988988989
20.4024,-0.0049,Go,-3.987987987987988
20.4026,-0.0062,Go,-3.986986986986987
20.4028,-0.0078,Go,-3.985985985985986
20.403,-0.0094,Go,-3.984984984984985
20.4032,-0.01,Go,-3.983983983983984
20.4034,-0.0113,Go,-3.982982982982983
20.4036,-0.009,Go,-3.981981981981982
20.4038,-0.0055,Go,-3.980980980980981
20.404,-0.0043,Go,-3.97997997997998
20.4042,0.0008,Go,-3.978978978978979
20.4044,-0.0004,Go,-3.977977977977978
20.4046,0.0008,Go,-3.976976976976977
20.4048,0.0021,Go,-3.975975975975976
20.405,0.0028,Go,-3.974974974974975
20.4052,0.0037,Go,-3.973973973973974
20.4054,-0.0001,Go,-3.972972972972973
20.4056,0.0008,Go,-3.971971971971972
20.4058,0.0008,Go,-3.970970970970971
20.406,0.0005,Go,-3.96996996996997
20.4062,0.0005,Go,-3.968968968968969
20.4064,0.0008,Go,-3.967967967967968
20.4066,-0.0017,Go,-3.966966966966967
20.4068,0.0002,Go,-3.965965965965966
20.407,0.0002,Go,-3.964964964964965
20.4072,0.0021,Go,-3.963963963963964
20.4074,0.0008,Go,-3.962962962962963
20.4076,0.0018,Go,-3.961961961961962
20.4078,-0.0004,Go,-3.960960960960961
20.408,-0.0007,Go,-3.95995995995996
20.4082,-0.0007,Go,-3.958958958958959
20.4084,-0.0004,Go,-3.957957957957958
20.4086,-0.0017,Go,-3.956956956956957
20.4088,0.0005,Go,-3.955955955955956
20.409,-0.0004,Go,-3.954954954954955
20.4092,0.0002,Go,-3.953953953953954
20.4094,-0.002,Go,-3.952952952952953
20.4096,0.0005,Go,-3.951951951951952
20.4098,-0.0043,Go,-3.950950950950951
20.41,-0.0055,Go,-3.94994994994995
20.4102,-0.0058,Go,-3.948948948948949
20.4104,-0.0043,Go,-3.947947947947948
20.4106,-0.0049,Go,-3.946946946946947
20.4108,-0.0058,Go,-3.945945945945946
20.411,-0.0058,Go,-3.944944944944945
20.4112,-0.0058,Go,-3.943943943943944
20.4114,-0.0049,Go,-3.942942942942943
20.4116,-0.0027,Go,-3.941941941941942
20.4118,-0.002,Go,-3.940940940940941
20.412,0.0012,Go,-3.93993993993994
20.4122,-0.002,Go,-3.938938938938939
20.4124,-0.0011,Go,-3.937937937937938
20.4126,0.0018,Go,-3.936936936936937
20.4128,0.0008,Go,-3.935935935935936
20.413,-0.0014,Go,-3.934934934934935
20.4132,0.0008,Go,-3.933933933933934
20.4134,-0.0011,Go,-3.932932932932933
20.4136,-0.0004,Go,-3.931931931931932
20.4138,0.0005,Go,-3.930930930930931
20.414,-0.0011,Go,-3.92992992992993
20.4142,0.0008,Go,-3.928928928928929
20.4144,-0.0001,Go,-3.9279279279279278
20.4146,0.0005,Go,-3.926926926926927
20.4148,0.0002,Go,-3.925925925925926
20.415,0.0002,Go,-3.924924924924925
20.4152,-0.0004,Go,-3.923923923923924
20.4154,0.0002,Go,-3.9229229229229228
20.4156,0.0012,Go,-3.921921921921922
20.4158,0.0005,Go,-3.920920920920921
20.416,0.0008,Go,-3.91991991991992
20.4162,0.0002,Go,-3.918918918918919
20.4164,0.0005,Go,-3.9179179179179178
20.4166,-0.0011,Go,-3.916916916916917
20.4168,-0.0011,Go,-3.915915915915916
20.417,-0.0001,Go,-3.914914914914915
20.4172,0.0018,Go,-3.913913913913914
20.4174,-0.0001,Go,-3.9129129129129128
20.4176,-0.0011,Go,-3.911911911911912
20.4178,0.0002,Go,-3.910910910910911
20.418,0.0018,Go,-3.90990990990991
20.4182,0.0021,Go,-3.908908908908909
20.4184,-0.0011,Go,-3.9079079079079078
20.4186,-0.0001,Go,-3.906906906906907
20.4188,-0.0007,Go,-3.905905905905906
20.419,0.0012,Go,-3.904904904904905
20.4192,-0.0017,Go,-3.903903903903904
20.4194,-0.0004,Go,-3.9029029029029028
20.4196,-0.0011,Go,-3.901901901901902
20.4198,-0.0027,Go,-3.900900900900901
20.42,-0.0033,Go,-3.8998998998999
20.4202,-0.0068,Go,-3.898898898898899
20.4204,-0.0074,Go,-3.8978978978978978
20.4206,-0.0062,Go,-3.896896896896897
20.4208,-0.0052,Go,-3.895895895895896
20.421,-0.0023,Go,-3.894894894894895
20.4212,-0.0017,Go,-3.893893893893894
20.4214,-0.003,Go,-3.8928928928928928
20.4216,0.0028,Go,-3.891891891891892
20.4218,0.0002,Go,-3.890890890890891
20.422,0.0008,Go,-3.88988988988989
20.4222,0.0021,Go,-3.888888888888889
20.4224,0.0021,Go,-3.8878878878878878
20.4226,0.0012,Go,-3.886886886886887
20.4228,0.0002,Go,-3.885885885885886
20.423,0.0008,Go,-3.884884884884885
20.4232,0.0012,Go,-3.883883883883884
20.4234,0.0012,Go,-3.8828828828828827
20.4236,-0.0017,Go,-3.881881881881882
20.4238,0.0008,Go,-3.880880880880881
20.424,-0.0007,Go,-3.87987987987988
20.4242,0.0002,Go,-3.878878878878879
20.4244,0.0005,Go,-3.8778778778778777
20.4246,0.0012,Go,-3.876876876876877
20.4248,0.0012,Go,-3.875875875875876
20.425,-0.0017,Go,-3.874874874874875
20.4252,0.0008,Go,-3.873873873873874
20.4254,-0.0007,Go,-3.8728728728728727
20.4256,0.0002,Go,-3.871871871871872
20.4258,-0.0011,Go,-3.870870870870871
20.426,-0.0017,Go,-3.86986986986987
20.4262,-0.0014,Go,-3.868868868868869
20.4264,0.0005,Go,-3.8678678678678677
20.4266,-0.0004,Go,-3.866866866866867
