Time,V,Label,Depth
549.2,6.7224,Back,935.0
549.2002,6.7323,Back,934.998998998999
549.2004,6.7253,Back,934.997997997998
549.2006,6.738,Back,934.996996996997
549.2008,6.7387,Back,934.9959959959959
549.201,6.7212,Back,934.994994994995
549.2012,6.7202,Back,934.993993993994
549.2014,6.7004,Back,934.992992992993
549.2016,6.7527,Back,934.991991991992
549.2018,6.7603,Back,934.990990990991
549.202,6.7234,Back,934.98998998999
549.2022,6.7441,Back,934.988988988989
549.2024,6.7304,Back,934.9879879879879
549.2026,6.7435,Back,934.986986986987
549.2028,6.7247,Back,934.985985985986
549.203,6.7059,Back,934.984984984985
549.2032,6.7377,Back,934.983983983984
549.2034,6.7431,Back,934.982982982983
549.2036,6.7476,Back,934.981981981982
549.2038,6.7339,Back,934.980980980981
549.204,6.7476,Back,934.9799799799799
549.2042,6.7333,Back,934.978978978979
549.2044,6.7651,Back,934.977977977978
549.2046,6.767,Back,934.976976976977
549.2048,6.7696,Back,934.975975975976
549.205,6.7396,Back,934.974974974975
549.2052,6.739,Back,934.973973973974
549.2054,6.7358,Back,934.972972972973
549.2056,6.7313,Back,934.9719719719719
549.2058,6.717,Back,934.9709709709709
549.206,6.703,Back,934.96996996997
549.2062,6.6906,Back,934.968968968969
549.2064,6.6855,Back,934.967967967968
549.2066,6.6676,Back,934.966966966967
549.2068,6.653,Back,934.965965965966
549.207,6.645,Back,934.964964964965
549.2072,6.6663,Back,934.9639639639639
549.2074,6.6338,Back,934.9629629629629
549.2076,6.6475,Back,934.961961961962
549.2078,6.6644,Back,934.960960960961
549.208,6.6517,Back,934.95995995996
549.2082,6.6778,Back,934.958958958959
549.2084,6.703,Back,934.957957957958
549.2086,6.725,Back,934.9569569569569
549.2088,6.7333,Back,934.9559559559559
549.209,6.7336,Back,934.9549549549549
549.2092,6.7329,Back,934.9539539539539
549.2094,6.7772,Back,934.952952952953
549.2096,6.7501,Back,934.951951951952
549.2098,6.7074,Back,934.950950950951
549.21,6.6676,Back,934.94994994995
549.2102,6.6297,Back,934.9489489489489
549.2104,6.6169,Back,934.9479479479479
549.2106,6.622,Back,934.9469469469469
549.2108,6.6287,Back,934.9459459459459
549.211,6.6663,Back,934.944944944945
549.2112,6.6434,Back,934.943943943944
549.2114,6.6641,Back,934.942942942943
549.2116,6.6654,Back,934.941941941942
549.2118,6.6252,Back,934.9409409409409
549.212,6.6342,Back,934.9399399399399
549.2122,6.652,Back,934.9389389389389
549.2124,6.6753,Back,934.9379379379379
