Time,V,Label,Depth
227.6,-0.0017,Go,
227.6002,-0.0017,Go,
227.6004,-0.0011,Go,
227.6006,-0.0036,Go,
227.6008,-0.0036,Go,
227.601,-0.0007,Go,
227.6012,-0.0004,Go,
227.6014,0.0008,Go,
227.6016,0.0044,Go,
227.6018,0.004,Go,
227.602,0.0079,Go,
227.6022,0.0085,Go,
227.6024,0.0152,Go,
227.6026,0.0145,Go,
227.6028,0.0158,Go,
227.603,0.0171,Go,
227.6032,0.0165,Go,
227.6034,0.012,Go,
227.6036,0.0072,Go,
227.6038,0.0059,Go,
227.604,0.0053,Go,
227.6042,0.0053,Go,
227.6044,0.0059,Go,
227.6046,0.0088,Go,
227.6048,0.0075,Go,
227.605,0.0091,Go,
227.6052,0.0072,Go,
227.6054,0.0066,Go,
227.6056,0.0063,Go,
227.6058,0.0091,Go,
227.606,0.0072,Go,
227.6062,0.0072,Go,
227.6064,-0.0007,Go,
227.6066,-0.0001,Go,
227.6068,-0.0017,Go,
227.607,-0.0001,Go,
227.6072,0.0005,Go,
227.6074,0.0005,Go,
227.6076,0.0015,Go,
227.6078,0.0024,Go,
227.608,0.0024,Go,
227.6082,0.0034,Go,
227.6084,0.0079,Go,
227.6086,0.0104,Go,
227.6088,0.0082,Go,
227.609,0.0091,Go,
227.6092,0.0107,Go,
227.6094,0.0114,Go,
227.6096,0.013,Go,
227.6098,0.0145,Go,
227.61,0.0161,Go,
227.6102,0.0133,Go,
227.6104,0.0021,Go,
227.6106,0.0002,Go,
227.6108,0.0002,Go,
227.611,-0.0007,Go,
227.6112,0.0263,Go,
227.6114,0.0012,Go,
227.6116,-0.003,Go,
227.6118,0.0021,Go,
227.612,0.0021,Go,
227.6122,0.0002,Go,
227.6124,-0.0011,Go,
227.6126,-0.0011,Go,
227.6128,0.0002,Go,
227.613,-0.0004,Go,
227.6132,-0.0007,Go,
227.6134,-0.003,Go,
227.6136,-0.0014,Go,
227.6138,-0.0004,Go,
227.614,-0.0011,Go,
227.6142,0.0018,Go,
227.6144,0.0015,Go,
227.6146,0.0044,Go,
227.6148,0.0145,Go,
227.615,-0.0004,Go,
227.6152,0.0072,Go,
227.6154,0.0008,Go,
227.6156,0.0018,Go,
227.6158,0.0021,Go,
227.616,0.0002,Go,
227.6162,0.0008,Go,
227.6164,-0.0001,Go,
227.6166,0.0021,Go,
227.6168,0.0012,Go,
227.617,0.0037,Go,
227.6172,0.0047,Go,
227.6174,0.0063,Go,
227.6176,0.0075,Go,
227.6178,0.0072,Go,
227.618,0.0072,Go,
227.6182,0.005,Go,
227.6184,0.0053,Go,
227.6186,0.0015,Go,
227.6188,0.0012,Go,
227.619,0.0012,Go,
227.6192,-0.0033,Go,
227.6194,-0.0004,Go,
227.6196,-0.0027,Go,
227.6198,-0.0004,Go,
227.62,-0.0074,Go,
227.6202,-0.0014,Go,
227.6204,0.0002,Go,
227.6206,0.0002,Go,
227.6208,-0.0017,Go,
227.621,-0.0011,Go,
227.6212,0.0021,Go,
227.6214,0.0002,Go,
227.6216,-0.0023,Go,
227.6218,0.0012,Go,
227.622,0.0008,Go,
227.6222,0.0012,Go,
227.6224,0.0024,Go,
227.6226,0.0008,Go,
227.6228,0.0024,Go,
227.623,0.0015,Go,
227.6232,2.9606,Go,
227.6234,-0.0023,Go,
227.6236,-0.0007,Go,
227.6238,-0.0011,Go,
227.624,-0.0001,Go,
227.6242,-0.0004,Go,
227.6244,-0.0004,Go,
227.6246,-0.0011,Go,
227.6248,0.0353,Go,
227.625,-0.0014,Go,
227.6252,0.0005,Go,
227.6254,-0.0011,Go,
227.6256,0.0002,Go,
227.6258,0.0008,Go,
227.626,0.0031,Go,
227.6262,0.0015,Go,
227.6264,0.004,Go,
227.6266,0.0028,Go,
227.6268,0.0047,Go,
227.627,0.0037,Go,
227.6272,0.0024,Go,
227.6274,0.0031,Go,
227.6276,-0.0004,Go,
227.6278,0.0002,Go,
227.628,-0.0017,Go,
227.6282,-0.0004,Go,
227.6284,-0.002,Go,
227.6286,0.0012,Go,
227.6288,0.0079,Go,
227.629,0.005,Go,
227.6292,0.0075,Go,
227.6294,0.0072,Go,
227.6296,0.0069,Go,
227.6298,0.0075,Go,
227.63,0.0053,Go,
227.6302,1.6949,Go,
227.6304,-0.0001,Go,
227.6306,0.0002,Go,
227.6308,0.0002,Go,
227.631,0.0002,Go,
227.6312,-0.0001,Go,
227.6314,-0.0007,Go,
227.6316,0.0005,Go,
227.6318,0.0012,Go,
227.632,0.0002,Go,
227.6322,0.0015,Go,
227.6324,0.0044,Go,
227.6326,0.005,Go,
227.6328,0.0079,Go,
227.633,0.0053,Go,
227.6332,0.0059,Go,
227.6334,0.0079,Go,
227.6336,0.0085,Go,
227.6338,0.0079,Go,
227.634,0.0072,Go,
227.6342,0.0069,Go,
227.6344,0.0072,Go,
227.6346,0.0123,Go,
227.6348,0.0044,Go,
227.635,4.2219,Go,
227.6352,-0.0055,Go,
227.6354,-0.003,Go,
227.6356,-0.0004,Go,
227.6358,0.0031,Go,
227.636,0.0008,Go,
227.6362,0.0021,Go,
227.6364,0.0018,Go,
227.6366,0.0012,Go,
227.6368,-0.0007,Go,
227.637,-0.0001,Go,
227.6372,0.0034,Go,
227.6374,0.0028,Go,
227.6376,0.0024,Go,
227.6378,0.0037,Go,
227.638,0.0059,Go,
227.6382,0.0075,Go,
227.6384,0.0088,Go,
227.6386,0.0075,Go,
227.6388,-0.0011,Go,
227.639,-0.0004,Go,
227.6392,-0.0004,Go,
227.6394,-0.0001,Go,
227.6396,0.0002,Go,
227.6398,-0.0007,Go,
227.64,0.0005,Go,
227.6402,0.0024,Go,
227.6404,0.0034,Go,
227.6406,0.0075,Go,
227.6408,0.0085,Go,
227.641,0.0079,Go,
227.6412,0.0158,Go,
227.6414,0.0085,Go,
227.6416,0.0104,Go,
227.6418,0.0079,Go,
227.642,-0.0004,Go,
227.6422,-0.0052,Go,
227.6424,-0.0065,Go,
227.6426,-0.0058,Go,
227.6428,-0.0074,Go,
227.643,-0.0062,Go,
227.6432,-0.0046,Go,
227.6434,0.0012,Go,
227.6436,-0.0004,Go,
227.6438,0.0044,Go,
227.644,0.0059,Go,
227.6442,0.0085,Go,
227.6444,0.0091,Go,
227.6446,0.0114,Go,
227.6448,0.0136,Go,
227.645,0.0104,Go,
227.6452,0.0098,Go,
227.6454,0.0031,Go,
227.6456,0.004,Go,
227.6458,0.0044,Go,
227.646,0.004,Go,
227.6462,0.0059,Go,
227.6464,0.005,Go,
227.6466,0.0056,Go,
227.6468,0.0066,Go,
227.647,0.0075,Go,
227.6472,0.0091,Go,
227.6474,0.0085,Go,
227.6476,0.0088,Go,
227.6478,0.0079,Go,
227.648,0.0126,Go,
