Time,V,Label,Depth
236.8,0.2708,Hold,
236.8002,0.055,Hold,
236.8004,0.1277,Hold,
236.8006,0.048,Hold,
236.8008,0.0225,Hold,
236.801,0.0528,Hold,
236.8012,0.013,Hold,
236.8014,-0.0017,Hold,
236.8016,0.0206,Hold,
236.8018,0.027,Hold,
236.802,0.0295,Hold,
236.8022,0.0343,Hold,
236.8024,6.8027,Hold,
236.8026,6.7935,Hold,
236.8028,6.7654,Hold,
236.803,6.7482,Hold,
236.8032,6.7425,Hold,
236.8034,6.7355,Hold,
236.8036,5.48,Hold,
236.8038,0.1258,Hold,
236.804,0.0802,Hold,
236.8042,0.0585,Hold,
236.8044,0.1694,Hold,
236.8046,0.0716,Hold,
236.8048,0.0499,Hold,
236.805,1.7169,Hold,
236.8052,0.136,Hold,
236.8054,1.5483,Hold,
236.8056,0.0665,Hold,
236.8058,0.0346,Hold,
236.806,0.2816,Hold,
236.8062,1.8125,Hold,
236.8064,1.0779,Hold,
236.8066,0.0923,Hold,
236.8068,0.0811,Hold,
236.807,0.0773,Hold,
236.8072,0.1398,Hold,
236.8074,1.1232,Hold,
236.8076,0.2204,Hold,
236.8078,0.2169,Hold,
236.808,1.727,Hold,
236.8082,0.2322,Hold,
236.8084,0.0486,Hold,
236.8086,0.1283,Hold,
236.8088,0.071,Hold,
236.809,0.0506,Hold,
236.8092,0.0493,Hold,
236.8094,0.0815,Hold,
236.8096,5.4022,Hold,
236.8098,0.0725,Hold,
236.81,0.0646,Hold,
236.8102,0.0391,Hold,
236.8104,0.0461,Hold,
236.8106,0.048,Hold,
236.8108,6.8779,Hold,
236.811,2.2187,Hold,
236.8112,0.0235,Hold,
236.8114,0.0279,Hold,
236.8116,1.1576,Hold,
236.8118,0.1455,Hold,
236.812,0.0729,Hold,
236.8122,0.0588,Hold,
236.8124,0.1844,Hold,
236.8126,0.0716,Hold,
236.8128,0.056,Hold,
236.813,0.0544,Hold,
236.8132,1.3995,Hold,
236.8134,0.0725,Hold,
236.8136,0.0659,Hold,
236.8138,0.0502,Hold,
236.814,0.0471,Hold,
236.8142,0.1618,Hold,
236.8144,0.0808,Hold,
236.8146,0.0534,Hold,
236.8148,0.0531,Hold,
236.815,0.2688,Hold,
236.8152,0.0945,Hold,
236.8154,0.0703,Hold,
236.8156,0.0802,Hold,
236.8158,0.2443,Hold,
236.816,0.0789,Hold,
236.8162,0.0824,Hold,
236.8164,2.1174,Hold,
236.8166,3.5782,Hold,
236.8168,3.111,Hold,
236.817,0.3577,Hold,
236.8172,0.0534,Hold,
236.8174,0.0451,Hold,
236.8176,1.2542,Hold,
236.8178,0.048,Hold,
236.818,0.0553,Hold,
236.8182,1.5014,Hold,
236.8184,0.0537,Hold,
236.8186,0.0837,Hold,
236.8188,0.0442,Hold,
236.819,0.0518,Hold,
236.8192,0.3256,Hold,
236.8194,0.2194,Hold,
236.8196,0.0566,Hold,
236.8198,0.0356,Hold,
236.82,0.201,Hold,
236.8202,4.117,Hold,
236.8204,0.0671,Hold,
236.8206,0.0372,Hold,
236.8208,0.0391,Hold,
236.821,0.0566,Hold,
236.8212,0.0461,Hold,
236.8214,0.3144,Hold,
236.8216,0.056,Hold,
236.8218,0.2319,Hold,
236.822,0.1541,Hold,
236.8222,0.0662,Hold,
236.8224,0.7127,Hold,
236.8226,1.7589,Hold,
236.8228,0.2698,Hold,
236.823,0.1146,Hold,
