Time,V,Label,Depth
301.6,0.0075,Back,
301.6002,0.0161,Back,
301.6004,0.0346,Back,
301.6006,4.1693,Back,
301.6008,0.0228,Back,
301.601,0.0206,Back,
301.6012,0.0263,Back,
301.6014,0.0126,Back,
301.6016,0.0222,Back,
301.6018,0.0171,Back,
301.602,0.0123,Back,
301.6022,0.4951,Back,
301.6024,4.5326,Back,
301.6026,0.04,Back,
301.6028,0.02,Back,
301.603,5.1683,Back,
301.6032,0.0098,Back,
301.6034,6.5032,Back,
301.6036,0.0072,Back,
301.6038,0.0024,Back,
301.604,0.0177,Back,
301.6042,0.0053,Back,
301.6044,0.0082,Back,
301.6046,0.0012,Back,
301.6048,0.011,Back,
301.605,0.0008,Back,
301.6052,0.0126,Back,
301.6054,0.0193,Back,
301.6056,0.0031,Back,
301.6058,0.0091,Back,
301.606,0.0072,Back,
301.6062,0.0184,Back,
301.6064,0.1047,Back,
301.6066,0.04,Back,
301.6068,0.034,Back,
301.607,0.0391,Back,
301.6072,0.0174,Back,
301.6074,0.0209,Back,
301.6076,0.013,Back,
301.6078,0.0107,Back,
301.608,0.027,Back,
301.6082,2.9166,Back,
301.6084,0.1031,Back,
301.6086,0.049,Back,
301.6088,0.034,Back,
301.609,0.0522,Back,
301.6092,0.1261,Back,
301.6094,0.063,Back,
301.6096,0.027,Back,
301.6098,0.0222,Back,
301.61,0.1535,Back,
301.6102,0.7427,Back,
301.6104,2.2914,Back,
301.6106,0.3227,Back,
301.6108,0.0305,Back,
301.611,0.019,Back,
301.6112,0.0158,Back,
301.6114,0.0155,Back,
301.6116,0.013,Back,
301.6118,0.0196,Back,
301.612,0.337,Back,
301.6122,0.1449,Back,
301.6124,5.7677,Back,
301.6126,3.4912,Back,
301.6128,0.0614,Back,
301.613,0.0713,Back,
301.6132,0.049,Back,
301.6134,0.0585,Back,
301.6136,0.0611,Back,
301.6138,0.0649,Back,
301.614,0.4996,Back,
301.6142,4.5087,Back,
301.6144,0.0748,Back,
301.6146,0.0792,Back,
301.6148,0.0534,Back,
301.615,2.6352,Back,
301.6152,4.7499,Back,
301.6154,0.3198,Back,
301.6156,0.0391,Back,
301.6158,0.0343,Back,
301.616,0.0837,Back,
301.6162,0.0378,Back,
301.6164,4.7744,Back,
301.6166,3.4975,Back,
301.6168,3.6116,Back,
301.617,4.9223,Back,
301.6172,5.3885,Back,
301.6174,5.9229,Back,
301.6176,4.9229,Back,
301.6178,5.3777,Back,
301.618,6.6533,Back,
301.6182,6.6526,Back,
301.6184,6.6434,Back,
301.6186,6.623,Back,
301.6188,6.631,Back,
301.619,6.622,Back,
301.6192,2.011,Back,
301.6194,6.6705,Back,
301.6196,6.6749,Back,
301.6198,6.7011,Back,
301.62,6.7125,Back,
301.6202,6.7103,Back,
301.6204,6.7135,Back,
301.6206,6.7001,Back,
301.6208,6.7138,Back,
301.621,6.7151,Back,
301.6212,6.7008,Back,
301.6214,6.702,Back,
301.6216,6.6969,Back,
301.6218,6.6906,Back,
301.622,6.6941,Back,
301.6222,3.9459,Back,
301.6224,3.4112,Back,
301.6226,5.8136,Back,
301.6228,5.5109,Back,
301.623,5.1826,Back,
301.6232,5.7629,Back,
301.6234,6.6128,Back,
301.6236,6.6616,Back,
301.6238,6.6721,Back,
301.624,6.6555,Back,
301.6242,6.6533,Back,
301.6244,6.6517,Back,
301.6246,6.6412,Back,
301.6248,6.6313,Back,
301.625,6.6284,Back,
301.6252,6.6246,Back,
301.6254,6.6322,Back,
301.6256,6.6179,Back,
301.6258,6.6055,Back,
301.626,6.6055,Back,
301.6262,6.6141,Back,
301.6264,6.6163,Back,
301.6266,6.6125,Back,
301.6268,6.609,Back,
301.627,6.6198,Back,
301.6272,6.608,Back,
301.6274,5.9165,Back,
301.6276,6.7017,Back,
301.6278,6.6593,Back,
301.628,6.6698,Back,
301.6282,6.651,Back,
301.6284,6.6622,Back,
301.6286,6.6651,Back,
301.6288,6.653,Back,
301.629,6.6695,Back,
301.6292,6.6622,Back,
301.6294,6.6864,Back,
301.6296,6.6839,Back,
301.6298,6.6698,Back,
301.63,6.6612,Back,
301.6302,6.6667,Back,
301.6304,6.6596,Back,
301.6306,6.6568,Back,
301.6308,6.6479,Back,
301.631,6.6654,Back,
301.6312,6.6574,Back,
301.6314,4.6814,Back,
301.6316,4.3216,Back,
301.6318,6.4828,Back,
301.632,5.2808,Back,
301.6322,6.681,Back,
301.6324,6.7428,Back,
301.6326,6.7132,Back,
301.6328,6.688,Back,
301.633,6.6934,Back,
301.6332,6.703,Back,
301.6334,6.7425,Back,
301.6336,6.7384,Back,
301.6338,6.7291,Back,
301.634,6.7199,Back,
301.6342,6.7482,Back,
301.6344,6.7648,Back,
301.6346,6.7619,Back,
301.6348,6.768,Back,
301.635,6.7737,Back,
301.6352,6.7505,Back,
301.6354,6.7266,Back,
301.6356,6.7581,Back,
301.6358,6.7791,Back,
301.636,6.776,Back,
301.6362,6.7766,Back,
301.6364,6.7556,Back,
301.6366,6.7575,Back,
301.6368,6.7511,Back,
301.637,6.7435,Back,
301.6372,6.7514,Back,
301.6374,6.7626,Back,
301.6376,6.7454,Back,
301.6378,6.7584,Back,
301.638,6.7269,Back,
301.6382,6.7352,Back,
301.6384,6.7537,Back,
301.6386,6.7451,Back,
301.6388,6.7161,Back,
301.639,6.7033,Back,
301.6392,6.7001,Back,
301.6394,6.7036,Back,
301.6396,6.7524,Back,
301.6398,6.7055,Back,
301.64,6.6705,Back,
301.6402,6.6874,Back,
301.6404,6.6992,Back,
301.6406,6.702,Back,
301.6408,6.6772,Back,
301.641,6.6864,Back,
301.6412,6.6835,Back,
301.6414,6.6679,Back,
301.6416,6.6756,Back,
301.6418,6.688,Back,
301.642,6.7059,Back,
301.6422,6.7046,Back,
301.6424,6.7039,Back,
301.6426,6.7202,Back,
301.6428,6.731,Back,
301.643,6.702,Back,
301.6432,6.7068,Back,
301.6434,6.7065,Back,
301.6436,6.724,Back,
301.6438,6.7307,Back,
301.644,6.718,Back,
301.6442,6.7103,Back,
301.6444,6.7173,Back,
301.6446,6.6851,Back,
301.6448,6.6794,Back,
301.645,6.6797,Back,
301.6452,6.6584,Back,
301.6454,6.6587,Back,
301.6456,6.6224,Back,
301.6458,6.6549,Back,
301.646,6.6644,Back,
301.6462,6.6695,Back,
301.6464,6.6871,Back,
301.6466,6.681,Back,
301.6468,6.6813,Back,
301.647,6.6593,Back,
301.6472,6.6702,Back,
301.6474,6.6922,Back,
301.6476,6.7036,Back,
301.6478,6.7008,Back,
301.648,6.6753,Back,
301.6482,6.6883,Back,
301.6484,6.6603,Back,
301.6486,6.6552,Back,
301.6488,6.6781,Back,
301.649,6.6839,Back,
301.6492,6.703,Back,
301.6494,6.7106,Back,
301.6496,6.7326,Back,
301.6498,6.7556,Back,
301.65,6.7823,Back,
301.6502,6.7661,Back,
301.6504,6.7756,Back,
301.6506,6.7709,Back,
301.6508,6.7712,Back,
301.651,6.7667,Back,
301.6512,6.7581,Back,
301.6514,6.7447,Back,
301.6516,6.7333,Back,
301.6518,6.7122,Back,
301.652,6.6979,Back,
301.6522,6.7176,Back,
301.6524,6.7164,Back,
301.6526,6.6797,Back,
301.6528,6.6969,Back,
301.653,6.7008,Back,
301.6532,6.7103,Back,
301.6534,6.7266,Back,
301.6536,6.7282,Back,
301.6538,6.7406,Back,
301.654,6.7514,Back,
301.6542,6.7234,Back,
301.6544,6.7145,Back,
301.6546,6.7151,Back,
301.6548,6.7444,Back,
301.655,6.7173,Back,
301.6552,6.7304,Back,
301.6554,6.7285,Back,
301.6556,6.7215,Back,
301.6558,6.71,Back,
301.656,6.6985,Back,
301.6562,6.7078,Back,
301.6564,6.7164,Back,
301.6566,6.689,Back,
301.6568,6.6934,Back,
301.657,6.7189,Back,
301.6572,6.7074,Back,
301.6574,6.703,Back,
301.6576,6.6721,Back,
301.6578,6.6918,Back,
301.658,6.6867,Back,
301.6582,6.6686,Back,
301.6584,6.6695,Back,
301.6586,6.6319,Back,
301.6588,6.6313,Back,
301.659,5.3375,Back,
301.6592,4.7856,Back,
301.6594,3.9998,Back,
301.6596,6.6906,Back,
301.6598,6.6679,Back,
301.66,6.6211,Back,
301.6602,6.6386,Back,
301.6604,6.6698,Back,
301.6606,6.6864,Back,
301.6608,3.4207,Back,
301.661,4.1785,Back,
301.6612,4.5753,Back,
301.6614,4.1416,Back,
301.6616,4.4621,Back,
301.6618,5.5638,Back,
301.662,5.574,Back,
301.6622,4.3952,Back,
301.6624,4.2875,Back,
301.6626,3.1187,Back,
301.6628,0.6783,Back,
301.663,0.1121,Back,
301.6632,0.4463,Back,
301.6634,4.3751,Back,
301.6636,3.6416,Back,
301.6638,6.0975,Back,
301.664,0.5011,Back,
301.6642,3.6856,Back,
301.6644,0.013,Back,
301.6646,6.4704,Back,
301.6648,0.0024,Back,
301.665,5.4054,Back,
301.6652,0.0047,Back,
301.6654,0.0069,Back,
301.6656,0.0318,Back,
301.6658,3.2053,Back,
301.666,0.0079,Back,
301.6662,0.4078,Back,
301.6664,0.1003,Back,
301.6666,3.9689,Back,
301.6668,3.2184,Back,
301.667,2.3959,Back,
301.6672,-0.0004,Back,
301.6674,0.0044,Back,
301.6676,0.0063,Back,
301.6678,0.0161,Back,
301.668,0.2159,Back,
301.6682,3.8713,Back,
301.6684,6.6874,Back,
301.6686,6.71,Back,
301.6688,6.7046,Back,
301.669,6.6813,Back,
301.6692,6.6781,Back,
301.6694,6.6746,Back,
301.6696,6.6734,Back,
301.6698,6.6628,Back,
301.67,6.6211,Back,
301.6702,6.6609,Back,
301.6704,6.6657,Back,
301.6706,6.6724,Back,
301.6708,6.6718,Back,
301.671,6.6778,Back,
301.6712,6.6826,Back,
301.6714,6.6883,Back,
301.6716,6.6979,Back,
301.6718,6.6823,Back,
301.672,6.709,Back,
301.6722,6.7055,Back,
301.6724,6.6973,Back,
301.6726,6.6944,Back,
301.6728,6.6925,Back,
301.673,6.6902,Back,
301.6732,6.6944,Back,
301.6734,6.7256,Back,
301.6736,6.725,Back,
301.6738,6.7196,Back,
301.674,6.7074,Back,
301.6742,6.7036,Back,
301.6744,6.7078,Back,
301.6746,6.6893,Back,
301.6748,6.7125,Back,
301.675,6.6979,Back,
301.6752,6.7113,Back,
301.6754,6.7119,Back,
301.6756,6.7173,Back,
301.6758,6.7451,Back,
301.676,6.7479,Back,
301.6762,6.746,Back,
301.6764,6.7125,Back,
301.6766,6.7221,Back,
301.6768,6.7355,Back,
301.677,6.7533,Back,
301.6772,6.7626,Back,
301.6774,6.7737,Back,
301.6776,6.7511,Back,
301.6778,6.7498,Back,
301.678,6.7409,Back,
301.6782,6.7489,Back,
301.6784,6.7479,Back,
301.6786,6.7438,Back,
301.6788,6.7607,Back,
301.679,6.7562,Back,
301.6792,6.7607,Back,
301.6794,6.7415,Back,
301.6796,6.7377,Back,
301.6798,6.7441,Back,
301.68,6.7591,Back,
301.6802,6.7517,Back,
301.6804,6.7422,Back,
301.6806,6.7339,Back,
