Time,V,Label,Depth
6.2,-0.0014,Go,
6.2002,-0.0011,Go,
6.2004,-0.0023,Go,
6.2006,-0.0004,Go,
6.2008,-0.0011,Go,
6.201,-0.0004,Go,
6.2012,-0.0001,Go,
6.2014,0.0002,Go,
6.2016,-0.0007,Go,
6.2018,-0.0004,Go,
6.202,0.0002,Go,
6.2022,-0.0014,Go,
6.2024,0.0002,Go,
6.2026,-0.0011,Go,
6.2028,-0.0001,Go,
6.203,-0.0007,Go,
6.2032,-0.0004,Go,
6.2034,0.0012,Go,
6.2036,0.0018,Go,
6.2038,-0.0001,Go,
6.204,-0.0001,Go,
6.2042,0.0021,Go,
6.2044,-0.0004,Go,
6.2046,0.0018,Go,
6.2048,0.0015,Go,
6.205,-0.0004,Go,
6.2052,0.0002,Go,
6.2054,0.0005,Go,
6.2056,0.0008,Go,
6.2058,-0.0017,Go,
6.206,-0.0004,Go,
6.2062,0.0002,Go,
6.2064,-0.0011,Go,
6.2066,-0.0014,Go,
6.2068,-0.0007,Go,
6.207,0.0008,Go,
6.2072,-0.0007,Go,
6.2074,0.0005,Go,
6.2076,0.0008,Go,
6.2078,0.0002,Go,
6.208,-0.0001,Go,
6.2082,-0.0007,Go,
6.2084,-0.0004,Go,
6.2086,-0.0001,Go,
6.2088,-0.0011,Go,
6.209,-0.0017,Go,
6.2092,-0.0007,Go,
6.2094,-0.003,Go,
6.2096,-0.0004,Go,
6.2098,-0.0007,Go,
6.21,0.0069,Go,
6.2102,-0.0004,Go,
6.2104,0.0005,Go,
6.2106,0.0015,Go,
6.2108,0.0021,Go,
6.211,0.0021,Go,
6.2112,0.0037,Go,
6.2114,0.005,Go,
6.2116,0.0066,Go,
6.2118,0.0098,Go,
6.212,0.0088,Go,
6.2122,0.011,Go,
6.2124,0.0123,Go,
6.2126,0.012,Go,
6.2128,0.0082,Go,
6.213,0.0066,Go,
6.2132,0.0085,Go,
6.2134,0.0034,Go,
6.2136,0.0012,Go,
6.2138,-0.0011,Go,
6.214,-0.003,Go,
6.2142,-0.0023,Go,
6.2144,-0.002,Go,
6.2146,-0.0004,Go,
6.2148,-0.0014,Go,
6.215,-0.002,Go,
6.2152,-0.002,Go,
6.2154,-0.0011,Go,
6.2156,-0.0017,Go,
6.2158,-0.0017,Go,
6.216,0.0002,Go,
6.2162,-0.0017,Go,
6.2164,-0.0023,Go,
6.2166,0.0021,Go,
6.2168,-0.0023,Go,
6.217,-0.0007,Go,
6.2172,0.0002,Go,
6.2174,-0.0017,Go,
6.2176,-0.0017,Go,
6.2178,-0.0001,Go,
6.218,0.0008,Go,
6.2182,-0.0011,Go,
