Time,V,Label,Depth
154.2,0.0152,Hold,329.0
154.2002,0.0149,Hold,329.0
154.2004,0.0021,Hold,329.0
154.2006,0.0079,Hold,329.0
154.2008,0.0117,Hold,329.0
154.201,0.0168,Hold,329.0
154.2012,0.0181,Hold,329.0
154.2014,0.0273,Hold,329.0
154.2016,0.0184,Hold,329.0
154.2018,0.0257,Hold,329.0
154.202,0.027,Hold,329.0
154.2022,0.0298,Hold,329.0
154.2024,0.0375,Hold,329.0
154.2026,0.0604,Hold,329.0
154.2028,0.0174,Hold,329.0
154.203,0.02,Hold,329.0
154.2032,0.0238,Hold,329.0
154.2034,0.0212,Hold,329.0
154.2036,0.0541,Hold,329.0
154.2038,0.0349,Hold,329.0
154.204,0.0251,Hold,329.0
154.2042,0.0302,Hold,329.0
154.2044,0.0311,Hold,329.0
154.2046,1.2978,Hold,329.0
154.2048,0.0104,Hold,329.0
154.205,0.0044,Hold,329.0
154.2052,0.0155,Hold,329.0
154.2054,0.0152,Hold,329.0
154.2056,0.0168,Hold,329.0
154.2058,0.0228,Hold,329.0
154.206,0.0652,Hold,329.0
154.2062,0.026,Hold,329.0
154.2064,0.0512,Hold,329.0
154.2066,0.0298,Hold,329.0
154.2068,0.0445,Hold,329.0
154.207,0.0311,Hold,329.0
154.2072,0.0394,Hold,329.0
154.2074,0.0996,Hold,329.0
154.2076,0.0474,Hold,329.0
154.2078,0.0369,Hold,329.0
154.208,0.0302,Hold,329.0
154.2082,0.0359,Hold,329.0
154.2084,0.0566,Hold,329.0
154.2086,0.0435,Hold,329.0
154.2088,0.0184,Hold,329.0
154.209,0.0152,Hold,329.0
154.2092,0.0206,Hold,329.0
154.2094,0.0212,Hold,329.0
154.2096,0.0244,Hold,329.0
154.2098,0.0601,Hold,329.0
154.21,0.0302,Hold,329.0
154.2102,0.0318,Hold,329.0
154.2104,0.0474,Hold,329.0
154.2106,0.3711,Hold,329.0
154.2108,0.0435,Hold,329.0
154.211,0.0384,Hold,329.0
154.2112,0.0219,Hold,329.0
154.2114,0.0286,Hold,329.0
154.2116,0.0397,Hold,329.0
154.2118,0.0104,Hold,329.0
154.212,0.0416,Hold,329.0
154.2122,0.0633,Hold,329.0
154.2124,0.0295,Hold,329.0
154.2126,1.7146,Hold,329.0
154.2128,0.0098,Hold,329.0
154.213,0.0276,Hold,329.0
154.2132,0.0585,Hold,329.0
154.2134,0.0254,Hold,329.0
154.2136,2.7592,Hold,329.0
154.2138,0.0343,Hold,329.0
154.214,0.0337,Hold,329.0
154.2142,-0.0011,Hold,329.0
154.2144,0.0063,Hold,329.0
154.2146,0.0104,Hold,329.0
154.2148,0.0107,Hold,329.0
154.215,0.0212,Hold,329.0
154.2152,0.0203,Hold,329.0
154.2154,2.4562,Hold,329.0
154.2156,0.012,Hold,329.0
154.2158,0.0219,Hold,329.0
154.216,0.0219,Hold,329.0
154.2162,0.0397,Hold,329.0
154.2164,0.0276,Hold,329.0
154.2166,0.2606,Hold,329.0
154.2168,0.0069,Hold,329.0
154.217,0.0088,Hold,329.0
154.2172,0.0136,Hold,329.0
154.2174,0.0155,Hold,329.0
154.2176,0.0114,Hold,329.0
154.2178,0.0187,Hold,329.0
154.218,0.3807,Hold,329.0
154.2182,0.0181,Hold,329.0
154.2184,0.0267,Hold,329.0
154.2186,0.2612,Hold,329.0
154.2188,0.0101,Hold,329.0
154.219,0.0104,Hold,329.0
154.2192,0.0184,Hold,329.0
154.2194,0.0216,Hold,329.0
154.2196,0.0305,Hold,329.0
154.2198,0.0238,Hold,329.0
154.22,0.0394,Hold,329.0
154.2202,0.0381,Hold,329.0
154.2204,0.0426,Hold,329.0
154.2206,0.0512,Hold,329.0
154.2208,0.0783,Hold,329.0
154.221,0.0439,Hold,329.0
154.2212,4.7123,Hold,329.0
154.2214,0.0477,Hold,329.0
154.2216,0.0289,Hold,329.0
154.2218,0.0483,Hold,329.0
154.222,0.0636,Hold,329.0
154.2222,0.1146,Hold,329.0
154.2224,0.0811,Hold,329.0
154.2226,0.1509,Hold,329.0
154.2228,0.042,Hold,329.0
154.223,0.0413,Hold,329.0
154.2232,0.0324,Hold,329.0
154.2234,0.0413,Hold,329.0
154.2236,0.0601,Hold,329.0
154.2238,0.049,Hold,329.0
154.224,0.0531,Hold,329.0
154.2242,0.1223,Hold,329.0
154.2244,0.0722,Hold,329.0
154.2246,0.0318,Hold,329.0
154.2248,0.0372,Hold,329.0
154.225,0.0359,Hold,329.0
154.2252,0.0232,Hold,329.0
154.2254,0.0216,Hold,329.0
154.2256,0.0228,Hold,329.0
154.2258,0.02,Hold,329.0
154.226,0.0133,Hold,329.0
154.2262,0.077,Hold,329.0
154.2264,0.0273,Hold,329.0
154.2266,0.019,Hold,329.0
154.2268,0.0219,Hold,329.0
154.227,0.1519,Hold,329.0
154.2272,0.0161,Hold,329.0
154.2274,0.0426,Hold,329.0
154.2276,0.0047,Hold,329.0
154.2278,0.1528,Hold,329.0
154.228,0.0608,Hold,329.0
154.2282,0.0107,Hold,329.0
154.2284,0.0018,Hold,329.0
154.2286,0.013,Hold,329.0
154.2288,0.0232,Hold,329.0
154.229,0.0244,Hold,329.0
154.2292,0.0314,Hold,329.0
154.2294,0.4157,Hold,329.0
154.2296,0.041,Hold,329.0
154.2298,3.4032,Hold,329.0
154.23,0.0359,Hold,329.0
154.2302,0.056,Hold,329.0
154.2304,0.0305,Hold,329.0
154.2306,0.0295,Hold,329.0
154.2308,0.0273,Hold,329.0
154.231,0.026,Hold,329.0
154.2312,0.0369,Hold,329.0
154.2314,0.0381,Hold,329.0
154.2316,0.0203,Hold,329.0
154.2318,0.0372,Hold,329.0
154.232,0.1197,Hold,329.0
154.2322,0.0483,Hold,329.0
154.2324,0.0518,Hold,329.0
154.2326,0.0311,Hold,329.0
154.2328,0.0531,Hold,329.0
154.233,0.5658,Hold,329.0
154.2332,0.0136,Hold,329.0
154.2334,0.2354,Hold,329.0
154.2336,0.0104,Hold,329.0
154.2338,0.0101,Hold,329.0
154.234,0.0308,Hold,329.0
