Time,V,Label,Depth
5.8,-0.0027,Go,-3.0
5.8002,-0.0004,Go,-2.998998998998999
5.8004,-0.0001,Go,-2.997997997997998
5.8006,-0.0017,Go,-2.996996996996997
5.8008,-0.0014,Go,-2.995995995995996
5.801,-0.0011,Go,-2.994994994994995
5.8012,-0.002,Go,-2.993993993993994
5.8014,-0.0036,Go,-2.992992992992993
5.8016,-0.0043,Go,-2.991991991991992
5.8018,-0.003,Go,-2.990990990990991
5.802,-0.0058,Go,-2.98998998998999
5.8022,-0.0081,Go,-2.988988988988989
5.8024,-0.01,Go,-2.987987987987988
5.8026,-0.0103,Go,-2.986986986986987
5.8028,-0.0074,Go,-2.985985985985986
5.803,-0.0081,Go,-2.984984984984985
5.8032,-0.0049,Go,-2.983983983983984
5.8034,-0.0036,Go,-2.982982982982983
5.8036,-0.003,Go,-2.981981981981982
5.8038,0.0031,Go,-2.980980980980981
5.804,0.0031,Go,-2.97997997997998
5.8042,0.0066,Go,-2.978978978978979
5.8044,0.0075,Go,-2.977977977977978
5.8046,0.0072,Go,-2.976976976976977
5.8048,0.005,Go,-2.975975975975976
5.805,0.0024,Go,-2.974974974974975
5.8052,-0.0004,Go,-2.973973973973974
5.8054,-0.0001,Go,-2.972972972972973
5.8056,0.0008,Go,-2.971971971971972
5.8058,-0.0004,Go,-2.970970970970971
5.806,-0.0011,Go,-2.96996996996997
5.8062,-0.0011,Go,-2.968968968968969
5.8064,-0.0017,Go,-2.967967967967968
5.8066,-0.0007,Go,-2.966966966966967
5.8068,-0.0007,Go,-2.965965965965966
5.807,-0.0011,Go,-2.964964964964965
5.8072,-0.0004,Go,-2.963963963963964
5.8074,-0.0007,Go,-2.962962962962963
5.8076,-0.0007,Go,-2.961961961961962
5.8078,-0.0004,Go,-2.960960960960961
5.808,-0.0011,Go,-2.95995995995996
5.8082,-0.0007,Go,-2.958958958958959
5.8084,-0.0017,Go,-2.957957957957958
5.8086,-0.0027,Go,-2.956956956956957
5.8088,-0.0004,Go,-2.955955955955956
5.809,-0.0007,Go,-2.954954954954955
5.8092,-0.0017,Go,-2.953953953953954
5.8094,0.0002,Go,-2.952952952952953
5.8096,-0.0004,Go,-2.951951951951952
5.8098,-0.0007,Go,-2.950950950950951
5.81,-0.0001,Go,-2.94994994994995
5.8102,-0.0027,Go,-2.948948948948949
5.8104,-0.0004,Go,-2.947947947947948
5.8106,-0.0001,Go,-2.946946946946947
5.8108,-0.0001,Go,-2.945945945945946
5.811,0.0005,Go,-2.944944944944945
5.8112,-0.0001,Go,-2.943943943943944
5.8114,0.0021,Go,-2.942942942942943
5.8116,-0.0001,Go,-2.941941941941942
5.8118,0.0024,Go,-2.940940940940941
5.812,0.0104,Go,-2.93993993993994
5.8122,0.0002,Go,-2.938938938938939
5.8124,0.0005,Go,-2.937937937937938
5.8126,-0.0014,Go,-2.936936936936937
5.8128,-0.0011,Go,-2.935935935935936
5.813,-0.0011,Go,-2.934934934934935
5.8132,-0.0004,Go,-2.933933933933934
5.8134,0.0002,Go,-2.932932932932933
5.8136,-0.0014,Go,-2.931931931931932
5.8138,-0.0001,Go,-2.930930930930931
5.814,-0.0014,Go,-2.92992992992993
5.8142,-0.0004,Go,-2.928928928928929
5.8144,-0.0004,Go,-2.9279279279279278
5.8146,-0.002,Go,-2.926926926926927
5.8148,-0.0001,Go,-2.925925925925926
5.815,-0.0017,Go,-2.924924924924925
5.8152,-0.0001,Go,-2.923923923923924
5.8154,-0.003,Go,-2.9229229229229228
5.8156,-0.0023,Go,-2.921921921921922
5.8158,-0.0023,Go,-2.920920920920921
5.816,-0.0011,Go,-2.91991991991992
5.8162,-0.0004,Go,-2.918918918918919
5.8164,0.0002,Go,-2.9179179179179178
5.8166,0.0005,Go,-2.916916916916917
5.8168,0.0002,Go,-2.915915915915916
5.817,0.0012,Go,-2.914914914914915
5.8172,0.0012,Go,-2.913913913913914
5.8174,0.0015,Go,-2.9129129129129128
5.8176,0.0012,Go,-2.911911911911912
5.8178,0.0021,Go,-2.910910910910911
5.818,0.0008,Go,-2.90990990990991
5.8182,0.0037,Go,-2.908908908908909
5.8184,0.0053,Go,-2.9079079079079078
5.8186,0.0072,Go,-2.906906906906907
5.8188,0.0075,Go,-2.905905905905906
5.819,0.0104,Go,-2.904904904904905
5.8192,0.0091,Go,-2.903903903903904
5.8194,0.0088,Go,-2.9029029029029028
5.8196,0.0085,Go,-2.901901901901902
5.8198,0.0037,Go,-2.900900900900901
5.82,0.0031,Go,-2.8998998998999
5.8202,-0.0011,Go,-2.898898898898899
5.8204,-0.0017,Go,-2.8978978978978978
5.8206,-0.0043,Go,-2.896896896896897
5.8208,-0.0052,Go,-2.895895895895896
5.821,-0.0039,Go,-2.894894894894895
5.8212,-0.0052,Go,-2.893893893893894
5.8214,-0.0007,Go,-2.8928928928928928
5.8216,0.0005,Go,-2.891891891891892
5.8218,-0.0014,Go,-2.890890890890891
5.822,-0.0011,Go,-2.88988988988989
5.8222,-0.0011,Go,-2.888888888888889
5.8224,-0.002,Go,-2.8878878878878878
5.8226,-0.0023,Go,-2.886886886886887
5.8228,0.0002,Go,-2.885885885885886
5.823,-0.0007,Go,-2.884884884884885
5.8232,-0.0007,Go,-2.883883883883884
5.8234,-0.0014,Go,-2.8828828828828827
5.8236,0.0002,Go,-2.881881881881882
5.8238,-0.0004,Go,-2.880880880880881
5.824,-0.0007,Go,-2.87987987987988
5.8242,-0.0007,Go,-2.878878878878879
5.8244,-0.0023,Go,-2.8778778778778777
5.8246,-0.0011,Go,-2.876876876876877
5.8248,0.0002,Go,-2.875875875875876
5.825,0.0002,Go,-2.874874874874875
5.8252,-0.0014,Go,-2.873873873873874
5.8254,-0.0011,Go,-2.8728728728728727
5.8256,-0.0007,Go,-2.871871871871872
5.8258,-0.0001,Go,-2.870870870870871
5.826,-0.0004,Go,-2.86986986986987
5.8262,-0.0001,Go,-2.868868868868869
5.8264,-0.0007,Go,-2.8678678678678677
5.8266,-0.0011,Go,-2.866866866866867
5.8268,-0.0001,Go,-2.865865865865866
5.827,-0.0011,Go,-2.864864864864865
5.8272,0.0021,Go,-2.863863863863864
5.8274,-0.0011,Go,-2.8628628628628627
5.8276,0.0002,Go,-2.861861861861862
5.8278,0.0002,Go,-2.860860860860861
5.828,-0.002,Go,-2.85985985985986
5.8282,-0.0017,Go,-2.858858858858859
5.8284,-0.0033,Go,-2.8578578578578577
5.8286,-0.0023,Go,-2.856856856856857
5.8288,-0.0062,Go,-2.855855855855856
5.829,-0.0074,Go,-2.854854854854855
5.8292,-0.0081,Go,-2.853853853853854
5.8294,-0.0103,Go,-2.8528528528528527
5.8296,-0.0078,Go,-2.851851851851852
5.8298,-0.0049,Go,-2.850850850850851
5.83,-0.0033,Go,-2.84984984984985
5.8302,0.0002,Go,-2.848848848848849
5.8304,0.0008,Go,-2.8478478478478477
5.8306,0.0024,Go,-2.846846846846847
5.8308,0.0012,Go,-2.845845845845846
5.831,0.0002,Go,-2.844844844844845
5.8312,0.0005,Go,-2.843843843843844
5.8314,0.0015,Go,-2.8428428428428427
5.8316,-0.002,Go,-2.841841841841842
5.8318,-0.0001,Go,-2.840840840840841
5.832,0.0012,Go,-2.83983983983984
5.8322,0.0005,Go,-2.838838838838839
5.8324,0.0005,Go,-2.8378378378378377
5.8326,0.0002,Go,-2.836836836836837
5.8328,-0.0011,Go,-2.835835835835836
5.833,-0.0004,Go,-2.834834834834835
5.8332,0.0002,Go,-2.833833833833834
5.8334,-0.0001,Go,-2.8328328328328327
5.8336,-0.0023,Go,-2.831831831831832
5.8338,-0.0023,Go,-2.830830830830831
5.834,-0.002,Go,-2.82982982982983
5.8342,-0.0001,Go,-2.828828828828829
5.8344,0.0002,Go,-2.8278278278278277
5.8346,-0.0017,Go,-2.8268268268268266
5.8348,0.0018,Go,-2.825825825825826
5.835,0.0012,Go,-2.824824824824825
5.8352,-0.0023,Go,-2.823823823823824
5.8354,-0.0004,Go,-2.8228228228228227
5.8356,-0.0033,Go,-2.8218218218218216
5.8358,-0.0052,Go,-2.820820820820821
5.836,-0.0033,Go,-2.81981981981982
5.8362,-0.0046,Go,-2.818818818818819
5.8364,-0.0043,Go,-2.8178178178178177
5.8366,-0.0033,Go,-2.8168168168168166
5.8368,-0.0011,Go,-2.815815815815816
5.837,-0.0027,Go,-2.814814814814815
5.8372,0.0008,Go,-2.813813813813814
5.8374,0.0008,Go,-2.8128128128128127
5.8376,0.0008,Go,-2.8118118118118116
5.8378,-0.0007,Go,-2.810810810810811
