Time,V,Label,Depth
77.6,0.0353,Go,176.0
77.6002,0.0477,Go,176.0
77.6004,0.0528,Go,176.0
77.6006,0.0659,Go,176.0
77.6008,0.0381,Go,176.0
77.601,0.0321,Go,176.0
77.6012,0.0251,Go,176.0
77.6014,0.1181,Go,176.0
77.6016,0.0416,Go,176.0
77.6018,0.0244,Go,176.0
77.602,0.1044,Go,176.0
77.6022,0.0257,Go,176.0
77.6024,2.6537,Go,176.0
77.6026,0.0174,Go,176.0
77.6028,0.0206,Go,176.0
77.603,0.0349,Go,176.0
77.6032,0.0388,Go,176.0
77.6034,0.0289,Go,176.0
77.6036,0.0209,Go,176.0
77.6038,0.0203,Go,176.0
77.604,0.0327,Go,176.0
77.6042,2.344,Go,176.0
77.6044,0.2038,Go,176.0
77.6046,0.0149,Go,176.0
77.6048,0.0228,Go,176.0
77.605,0.0161,Go,176.0
77.6052,0.0209,Go,176.0
77.6054,1.9125,Go,176.0
77.6056,0.3823,Go,176.0
77.6058,0.0232,Go,176.0
77.606,0.0037,Go,176.0
77.6062,0.0165,Go,176.0
77.6064,0.0123,Go,176.0
77.6066,0.0165,Go,176.0
77.6068,0.0085,Go,176.0
77.607,0.0149,Go,176.0
77.6072,0.013,Go,176.0
77.6074,0.0024,Go,176.0
77.6076,0.0063,Go,176.0
77.6078,0.0069,Go,176.0
77.608,0.004,Go,176.0
77.6082,0.0139,Go,176.0
77.6084,0.0139,Go,176.0
77.6086,0.0196,Go,176.0
77.6088,0.0219,Go,176.0
77.609,0.0203,Go,176.0
77.6092,0.2927,Go,176.0
77.6094,0.2057,Go,176.0
77.6096,0.0066,Go,176.0
77.6098,0.0126,Go,176.0
77.61,0.0165,Go,176.0
77.6102,0.0181,Go,176.0
77.6104,0.0149,Go,176.0
77.6106,0.0165,Go,176.0
77.6108,3.4096,Go,176.0
77.611,0.0072,Go,176.0
77.6112,0.0082,Go,176.0
77.6114,0.0158,Go,176.0
77.6116,0.0337,Go,176.0
77.6118,0.026,Go,176.0
77.612,0.0104,Go,176.0
77.6122,0.019,Go,176.0
77.6124,0.0318,Go,176.0
77.6126,0.0397,Go,176.0
77.6128,0.011,Go,176.0
77.613,0.0069,Go,176.0
77.6132,0.0091,Go,176.0
77.6134,0.0104,Go,176.0
77.6136,0.2194,Go,176.0
77.6138,0.0311,Go,176.0
77.614,0.0502,Go,176.0
77.6142,0.0273,Go,176.0
77.6144,0.0232,Go,176.0
77.6146,0.0142,Go,176.0
77.6148,0.0136,Go,176.0
77.615,0.0139,Go,176.0
77.6152,0.0283,Go,176.0
77.6154,0.0209,Go,176.0
