Time,V,Label,Depth
313.0,6.6769,Hold,675.0
313.0002,6.7721,Hold,675.0
313.0004,6.7415,Hold,675.0
313.0006,6.7151,Hold,675.0
313.0008,6.7451,Hold,675.0
313.001,6.7626,Hold,675.0
313.0012,6.7345,Hold,675.0
313.0014,6.7262,Hold,675.0
313.0016,6.7202,Hold,675.0
313.0018,6.7715,Hold,675.0
313.002,6.7511,Hold,675.0
313.0022,6.7514,Hold,675.0
313.0024,6.7422,Hold,675.0
313.0026,6.7406,Hold,675.0
313.0028,6.6931,Hold,675.0
313.003,6.7441,Hold,675.0
313.0032,6.7428,Hold,675.0
313.0034,6.7304,Hold,675.0
313.0036,6.7409,Hold,675.0
313.0038,6.7266,Hold,675.0
313.004,6.7164,Hold,675.0
313.0042,6.7377,Hold,675.0
313.0044,6.7282,Hold,675.0
313.0046,6.7368,Hold,675.0
313.0048,6.7317,Hold,675.0
313.005,6.7349,Hold,675.0
313.0052,6.7473,Hold,675.0
313.0054,6.738,Hold,675.0
313.0056,6.717,Hold,675.0
313.0058,6.7489,Hold,675.0
313.006,6.7412,Hold,675.0
313.0062,6.7278,Hold,675.0
313.0064,6.7199,Hold,675.0
313.0066,6.7138,Hold,675.0
313.0068,6.717,Hold,675.0
313.007,6.7154,Hold,675.0
313.0072,6.7196,Hold,675.0
313.0074,6.7218,Hold,675.0
313.0076,6.7345,Hold,675.0
313.0078,6.7294,Hold,675.0
313.008,6.7336,Hold,675.0
313.0082,6.7285,Hold,675.0
313.0084,6.7183,Hold,675.0
313.0086,6.7313,Hold,675.0
313.0088,6.7342,Hold,675.0
313.009,6.7396,Hold,675.0
313.0092,6.7387,Hold,675.0
313.0094,6.7307,Hold,675.0
313.0096,6.7224,Hold,675.0
313.0098,6.6348,Hold,675.0
313.01,6.6533,Hold,675.0
313.0102,6.7113,Hold,675.0
313.0104,6.6718,Hold,675.0
313.0106,6.644,Hold,675.0
313.0108,6.6632,Hold,675.0
313.011,6.6577,Hold,675.0
313.0112,6.6963,Hold,675.0
313.0114,1.5731,Hold,675.0
313.0116,0.8568,Hold,675.0
313.0118,0.8902,Hold,675.0
313.012,0.0678,Hold,675.0
313.0122,0.019,Hold,675.0
313.0124,0.0448,Hold,675.0
313.0126,0.6834,Hold,675.0
313.0128,0.0136,Hold,675.0
313.013,0.0228,Hold,675.0
313.0132,0.0149,Hold,675.0
313.0134,0.0095,Hold,675.0
313.0136,0.0149,Hold,675.0
313.0138,0.019,Hold,675.0
313.014,0.0155,Hold,675.0
313.0142,0.0123,Hold,675.0
313.0144,0.9071,Hold,675.0
313.0146,0.013,Hold,675.0
313.0148,0.0776,Hold,675.0
313.015,0.0219,Hold,675.0
313.0152,0.0439,Hold,675.0
313.0154,0.0228,Hold,675.0
313.0156,1.3147,Hold,675.0
313.0158,0.0601,Hold,675.0
313.016,1.8319,Hold,675.0
313.0162,0.3268,Hold,675.0
313.0164,0.3163,Hold,675.0
313.0166,2.6222,Hold,675.0
313.0168,0.0206,Hold,675.0
313.017,0.0117,Hold,675.0
313.0172,0.0177,Hold,675.0
313.0174,0.0181,Hold,675.0
313.0176,0.0187,Hold,675.0
313.0178,0.0158,Hold,675.0
313.018,0.027,Hold,675.0
313.0182,0.1981,Hold,675.0
313.0184,2.9743,Hold,675.0
313.0186,0.0142,Hold,675.0
313.0188,5.3844,Hold,675.0
313.019,0.005,Hold,675.0
313.0192,0.0044,Hold,675.0
313.0194,0.0308,Hold,675.0
313.0196,0.0072,Hold,675.0
313.0198,0.0079,Hold,675.0
313.02,0.0866,Hold,675.0
313.0202,1.2274,Hold,675.0
313.0204,0.0005,Hold,675.0
313.0206,0.004,Hold,675.0
313.0208,-0.0001,Hold,675.0
313.021,0.0012,Hold,675.0
313.0212,0.0072,Hold,675.0
313.0214,0.0974,Hold,675.0
313.0216,0.026,Hold,675.0
313.0218,0.0203,Hold,675.0
313.022,0.0356,Hold,675.0
313.0222,0.0232,Hold,675.0
313.0224,0.0123,Hold,675.0
313.0226,0.0308,Hold,675.0
313.0228,0.0181,Hold,675.0
313.023,0.0251,Hold,675.0
313.0232,0.0305,Hold,675.0
313.0234,0.0563,Hold,675.0
313.0236,6.7677,Hold,675.0
313.0238,6.7683,Hold,675.0
313.024,6.7814,Hold,675.0
313.0242,6.7795,Hold,675.0
313.0244,6.7074,Hold,675.0
313.0246,6.7027,Hold,675.0
313.0248,6.7167,Hold,675.0
313.025,6.6976,Hold,675.0
313.0252,6.7052,Hold,675.0
313.0254,6.7205,Hold,675.0
313.0256,6.7282,Hold,675.0
313.0258,6.725,Hold,675.0
